Fitness,Label,AP_Eng1,AP_Eng2,AP_Eng3,HDG_Mode1,HDG_Mode2,HDG_Mode3,ALT_Mode1,ALT_Mode2,ALT_Mode3,HDG_Ref1,HDG_Ref2,HDG_Ref3,TurnK1,TurnK2,TurnK3,ALT_Ref1,ALT_Ref2,ALT_Ref3,Pwheel1,Pwheel2,Pwheel3
-16.8215414,0,0,0,0,0,1,0,0,1,0,164.3657486,-70.33963002,-35.18715723,16.86078822,20.19459391,34.34078732,73.86843,421.4786884,169.5489243,-14.72019473,-5.617712964,-20.87648987
-59.70976943,0,1,0,0,1,1,1,1,0,0,6.083186371,-167.1227533,-66.74640542,32.49551531,35.71303967,11.07158997,509.7641321,506.0230534,14.0316219,13.72104956,-1.459149339,-8.685227588
-5.095230628,0,1,1,0,0,0,1,0,0,0,-105.6747752,-26.58754479,62.03113835,35.53023751,2.441551077,22.10950683,732.5976507,649.7163408,162.9127164,-16.54333681,20.67020183,-28.17351953
-7.210942403,0,1,0,0,0,1,1,1,1,0,32.17773943,12.59825398,107.2501453,37.3588217,22.53029961,21.28980359,812.8838841,229.5093599,103.7456323,12.23580297,-29.62393673,-0.596911322
-2.16842064,0,1,0,0,0,0,0,0,0,1,157.7765787,113.7027439,113.6409018,33.22941,13.22567851,10.60215008,492.0903232,143.6863366,158.1606495,22.217224,22.46358848,-25.61052505
0,1,0,0,0,0,0,1,0,0,1,45.25120637,141.4689531,130.1102813,1.885114758,30.36098541,10.24853951,623.3776389,170.7596765,777.7353913,25.34067454,23.01720786,1.832161679
-59.70789794,0,1,1,0,1,0,0,0,0,0,-48.97973825,69.20351651,-85.01747455,32.34006841,35.94153732,17.14670302,205.6560661,209.7850624,630.4261102,-14.00380222,7.954667861,-16.51800749
-26.36085588,0,0,0,1,0,1,0,0,0,0,-74.29087796,-169.3377097,114.3894111,26.4001027,11.2638277,2.30389987,30.85471166,57.21507441,300.78211,7.854040688,28.98291996,13.80359411
-28.9908389,0,0,0,1,0,0,1,0,1,0,55.30280471,11.78738809,-122.1650805,29.03008571,17.63149414,26.9961331,864.7654842,355.2763741,784.0944236,20.73130624,-12.57052735,4.868491986
-42.13758551,0,0,0,1,1,1,1,0,0,0,40.44824763,116.5291967,126.1098715,42.17683233,13.08247264,39.60998923,508.8692648,90.15595989,17.94482067,19.09263036,0.456550545,11.41302043
-30.89795207,0,0,1,1,0,0,0,0,1,1,-59.16428617,-173.1853726,-130.6598534,30.93719889,4.975493374,15.33561001,352.6115326,308.9706582,349.5744925,14.54529515,12.71050371,11.06595112
-36.71261997,0,0,0,0,1,0,1,1,1,0,17.13430674,150.1485484,-41.47472274,36.75186679,19.05157239,34.05335529,580.1840407,203.1657347,351.3655326,-9.313485652,27.19978466,18.59649337
0,1,0,1,0,0,1,0,0,1,1,52.24942294,106.2602426,-14.46179088,1.70767003,22.11918579,28.29583548,990.8127503,499.626627,707.7301252,9.646088228,-4.516839558,-22.21004492
-49.9070867,0,1,0,0,1,1,0,1,0,1,6.243375285,-11.83542464,-69.26877903,22.69283258,21.41289767,13.59387552,95.55688505,482.1268431,2.107498644,18.74052604,-19.64770638,-13.41994625
0.787608553,1,1,0,0,0,0,0,0,1,0,-177.7964183,51.96818186,175.0614956,8.508203307,13.35455121,17.80365937,402.9084196,65.84671281,734.4585383,-6.763698472,-21.18657712,5.935564964
0.848653841,1,1,0,0,0,0,0,1,0,1,-90.00772136,150.8719541,165.5375667,6.90541721,13.3640747,2.992454077,117.9730817,782.8908139,328.0604465,5.269854093,23.74719711,16.7266572
-28.1478793,0,1,0,1,1,0,1,1,0,0,-95.91869944,-8.331657515,-106.8992968,1.492314174,10.1540346,27.20364898,949.536733,942.0235431,160.5658037,5.609835372,1.910006849,-9.296752529
-38.49392517,0,1,0,1,1,0,0,0,1,1,34.19128936,-168.4915808,143.1938523,10.4737716,22.68062863,18.62496189,327.6887911,180.5530784,124.262078,13.05337771,27.32313472,-6.376870492
0.838136604,1,1,0,0,0,1,1,0,1,1,37.76157493,171.322418,93.71749234,5.09246181,23.89022517,0.481280838,37.20147214,730.9336618,352.6254883,-27.86565497,-5.590262292,2.921598609
-9.998070212,0,0,0,0,1,0,0,1,0,0,158.5517084,171.4799731,53.08271919,10.03731703,9.397258971,19.17972973,129.0903257,710.7972825,834.1080983,14.91708956,21.81516376,-7.79702218
-30.51465801,0,1,1,0,1,1,0,0,0,0,71.32303355,74.44006381,20.47006786,3.10783078,14.78956291,28.30257248,25.03827615,210.9865867,871.8497324,-0.155455769,27.52266435,8.185484547
-46.0466114,0,1,0,1,1,0,1,0,1,1,94.12543614,67.76649915,157.0200948,24.74467872,40.3246628,18.86245942,897.4252851,359.880828,987.4161035,20.09437155,-10.45272768,20.45164704
-6.396205733,0,0,1,1,0,0,0,0,0,0,-38.30576733,-84.68354632,-120.0951239,6.435452552,39.87607732,6.486767923,107.1549542,391.4794366,161.7219233,-1.366251346,15.67047333,28.33905485
0,1,1,1,0,0,0,1,1,1,0,29.79190619,-165.097255,-6.661371077,25.00430857,26.19210763,33.21315462,366.8033361,523.6873913,694.8650993,-10.98442776,8.363450688,9.058543559
-8.587094887,0,0,1,0,1,1,0,1,1,0,96.0714672,-126.7436983,-148.3001361,8.626341706,15.63577742,38.57383198,196.2368857,89.2270288,283.1838124,-16.0522057,12.43366593,22.94333669
-28.1478793,0,1,1,1,1,0,0,1,0,1,-123.2583584,86.04463842,11.14219146,1.382501723,5.733711321,3.241015436,203.3907727,356.8172532,555.6845323,-24.49288375,27.53800912,-4.292265723
-6.339667347,0,1,0,1,1,0,0,0,0,0,-130.0907503,148.0362362,150.2273727,22.72132201,21.28298758,38.23214111,530.8484984,389.931402,51.13092194,28.04305571,-14.23858884,-21.18196728
-14.9703846,0,0,0,0,0,0,0,1,0,0,-160.3090259,98.09562092,-72.76920602,15.00963142,44.49310681,6.834732552,540.2136184,75.41880005,849.8008978,29.67940124,-11.70013493,-21.931741
