Fitness,Label,AP_Eng1,AP_Eng2,AP_Eng3,HDG_Mode1,HDG_Mode2,HDG_Mode3,ALT_Mode1,ALT_Mode2,ALT_Mode3,HDG_Ref1,HDG_Ref2,HDG_Ref3,TurnK1,TurnK2,TurnK3,ALT_Ref1,ALT_Ref2,ALT_Ref3,Pwheel1,Pwheel2,Pwheel3
-36.4714727,0,0,1,0,1,1,1,1,0,1,-154.5770728,131.6744112,49.28812494,36.51071952,10.84948564,28.75172724,497.879827,668.47291,454.316549,12.6321901,10.50105424,10.70570364
-33.45967982,0,0,0,0,1,1,1,1,1,1,64.91131622,-133.6704684,6.983887388,33.49892664,43.01786366,32.78878059,815.7826852,916.0786755,301.3612887,-8.105021646,-22.06530918,-21.64901886
-43.37145344,0,0,0,0,0,0,0,0,0,0,36.72590296,-170.529632,157.0645633,43.41070026,0.376422542,28.37966225,834.1091436,558.8341479,502.935499,-18.6685427,-25.13592792,-9.892600537
-10.18216682,0,0,1,0,0,0,1,0,0,0,-175.1318943,135.8259721,118.8434458,10.22141364,0.588554151,9.547151871,871.0012564,825.9793059,578.6962779,-15.18622295,26.12260268,-9.426408091
-0.933569068,0,1,0,0,0,1,0,1,0,1,-65.74512102,-34.37902783,-29.95190613,31.08144837,15.23739149,29.60307418,378.143202,171.2928115,731.6480625,-26.65198944,9.585009851,3.803046136
-14.26507077,0,0,1,0,1,1,0,0,1,1,-0.627152089,-121.6436919,-36.91592653,14.30431759,12.96789348,42.5891565,389.5849856,825.1926972,757.1513377,17.68679275,13.4073634,-7.395096009
0.80958846,1,1,0,0,0,1,1,1,1,0,14.09712647,-107.2877478,133.3452158,2.565903613,23.28190459,4.201270269,985.5017628,29.8991107,597.6114006,-2.822421647,3.466003968,-12.13829463
-27.60089921,0,0,0,1,1,1,1,0,0,1,-179.0579747,-62.38477377,119.2966572,27.64014603,15.45045577,11.7419146,303.876846,907.7267354,60.01880244,-11.17429955,-9.244719274,-25.82593799
-28.89152352,0,0,0,1,0,0,1,1,1,0,19.65064401,-122.5060448,-26.19438694,28.93077034,7.219644499,23.69735703,910.9687295,428.1553784,879.6513448,2.317273534,-29.49440761,29.01118086
-15.01891198,0,0,0,0,1,1,0,0,0,0,-161.0714147,68.83404107,144.0040554,15.0581588,7.910339519,31.51043032,43.17503357,65.6544214,236.8166068,-9.192848133,-21.31372965,-23.33336951
0,1,1,0,0,1,0,1,0,0,1,-155.809517,115.6225225,91.93134881,28.8056259,1.968429264,10.7988396,593.7298076,676.8364427,542.6761377,-3.757572878,-15.46368968,-12.56865632
0,1,1,0,0,1,1,0,1,1,0,-72.11491957,-83.49443606,127.4693255,25.61119831,31.96827262,37.10500546,852.453625,371.2070465,289.3446791,-28.3942875,8.708358552,-14.29779571
-6.617379786,0,0,0,1,1,1,1,1,1,1,69.68388878,94.36643497,162.7866924,6.656626605,4.151432351,0.123908288,102.8922167,445.5300421,976.070893,11.66834129,-10.98829021,-21.57499846
-25.59002991,0,0,1,0,0,0,0,1,0,1,-132.8828553,45.35816461,170.4038805,25.62927673,25.40646409,3.3682641,408.273719,597.2640336,986.6304566,19.21934237,29.36106868,-8.154419967
-30.42440274,0,1,0,0,1,0,1,0,0,1,-55.46886947,-82.19935122,-66.16512997,3.110202358,2.69491352,4.36421106,203.5120772,733.7193312,385.6021272,-5.465369086,25.01869051,-24.49491424
0,1,1,0,1,0,0,1,0,0,0,164.1431609,-59.06198549,-104.5361899,29.25823251,28.14053356,33.57488085,680.1843613,204.9460221,408.643679,8.654102795,27.00587282,-24.05729952
-15.08139118,0,0,1,0,1,1,1,1,1,1,22.94594013,126.2384727,109.2889434,15.120638,37.62530117,34.54847776,172.7862929,555.0280916,397.6322541,2.249824696,-12.16132276,-17.6938166
0.91397035,1,1,1,1,0,1,1,0,1,1,-55.37870325,172.7226659,-168.3049615,1.76744396,9.701093066,36.95502146,345.838369,715.4912088,123.3372684,6.199195528,28.35970188,27.84346537
0,1,1,0,0,0,1,0,1,0,0,-128.2698491,28.05247315,-92.72128482,24.4953048,6.744078008,4.226403008,998.2216134,158.1622752,507.9709097,-12.85529906,15.30089821,-5.990330393
-31.22703691,0,1,0,0,1,0,1,1,1,0,105.5616151,123.7324888,4.619582403,9.693260756,3.821802383,34.71274784,972.3753299,444.6085485,790.2215652,-10.76517021,25.55157626,25.83355298
-20.7166633,0,0,0,0,0,0,1,1,0,0,41.5978437,157.8863018,-112.1332265,20.75591012,34.74869654,34.73803972,481.5563929,761.2878486,556.7439275,13.7708535,-16.75832796,-28.54097559
-9.281137012,0,1,0,0,0,1,0,0,0,0,31.43269646,25.62823899,-0.488020539,39.51919263,24.91971838,42.50910939,432.419719,337.0120298,578.1505802,-6.38276662,29.03280707,-21.80216607
-57.31444046,0,1,1,0,1,1,1,0,1,1,-62.50039161,103.6607828,168.3104108,29.77491919,32.07455766,9.043468284,420.2891146,524.7136034,925.0566597,-24.1747819,2.935715864,16.14123847
0.860827549,1,1,0,0,0,0,1,1,0,1,-78.40306001,-2.750044828,16.25067542,6.304539945,23.35840573,10.83754453,931.1621896,419.7653175,514.0824477,-13.61004779,-3.152269993,13.56397242
-5.002728762,0,0,1,0,0,1,0,0,0,0,98.47332684,-162.7298109,31.71604071,5.041975582,36.11924838,41.5857575,101.7503403,810.6226771,92.45413603,0.934235684,-2.341981661,-16.78569406
-59.65808268,0,1,0,0,1,1,1,1,1,1,-61.37758654,9.191279247,-46.9784756,32.44382856,6.741602014,24.02695191,350.7677641,336.5583993,4.795513168,-21.20993936,-23.11461787,27.40082158
-6.132183667,0,1,1,0,1,1,0,1,1,0,141.8012042,0.981207801,-148.2398768,22.01569563,16.40342304,43.93550503,275.6296807,634.8883302,335.6123519,29.71154191,7.564111118,-22.76499634
-38.99370156,0,0,0,1,0,0,0,1,0,1,92.37677061,123.057275,-97.75633158,39.03294838,0.109391668,34.23368865,211.9282625,209.8186703,347.4108093,-29.00969052,-20.52512973,13.58518784
0,1,1,1,1,0,1,0,1,1,0,47.76024339,-156.6966601,90.2087406,24.86510292,7.27335949,11.71110985,341.6470533,214.1398556,296.7562828,-15.69053979,-19.77026824,21.58717043
