Fitness,Label,AP_Eng1,AP_Eng2,AP_Eng3,HDG_Mode1,HDG_Mode2,HDG_Mode3,ALT_Mode1,ALT_Mode2,ALT_Mode3,HDG_Ref1,HDG_Ref2,HDG_Ref3,TurnK1,TurnK2,TurnK3,ALT_Ref1,ALT_Ref2,ALT_Ref3,Pwheel1,Pwheel2,Pwheel3
3.542100585,1,1,1,0,1,1,1,0,1,0,-80.63207185,-5.765871673,99.24502844,13.03482399,38.33922129,42.55919653,595.6345743,664.2164813,269.0839524,-27.24543233,22.16834725,-15.48605713
31.24465766,1,0,0,0,1,0,1,0,0,1,-17.41899823,5.885397494,-32.70416595,32.44014388,32.27481074,5.797760024,622.2486494,102.7785633,825.5159234,22.19212389,26.38998577,-23.014521
3.071576908,1,1,1,1,0,0,0,1,1,1,61.81928048,-130.6475052,133.4643286,2.600019529,12.0661022,30.96087469,928.3517302,387.8750255,531.5037831,-5.379163931,4.200799536,0.764235704
-5.477994321,0,1,0,0,1,0,1,1,1,0,-131.719339,62.52513857,155.2054983,19.11911544,18.24889013,9.966711762,949.8524857,587.3291352,155.5882092,-22.57575071,16.94782835,-11.71701658
2.849320906,1,0,0,1,1,1,1,1,1,0,-87.77240901,-174.1496039,132.5442898,10.7510914,43.63965483,23.51151674,386.3750224,802.2995479,894.8937105,-26.40765441,-29.86182698,14.20532757
2.981964114,1,1,1,1,1,0,1,1,1,1,175.9814657,71.27690783,-159.7658374,36.04138174,36.26295426,18.3049914,807.762347,918.0017896,454.7050229,9.305142646,-13.03574557,-28.31514133
4.776259756,1,1,0,0,1,0,1,1,1,0,92.15639939,161.9638328,162.9504545,44.1587022,31.8144628,27.23378406,583.5680261,569.7484688,479.1335433,-14.58030095,-4.674552535,0.833646452
-1.531424856,0,0,1,0,0,0,1,0,0,0,94.8178552,-60.58576522,-45.66743,6.881033132,38.52633213,16.35853254,290.8661263,944.2932664,384.0040425,23.13696216,-6.396785168,-9.280211665
3.835254459,1,1,1,0,0,1,0,1,1,0,5.747606422,31.43325495,-32.54756621,36.94652367,30.5366676,39.33832056,931.2032429,819.0149133,903.139379,-10.48623032,-19.78156894,-17.28578228
2.986965,1,1,1,1,0,1,1,0,1,0,-38.88136304,134.1317763,-126.0256997,19.66231113,13.42435083,39.46014416,340.7690414,437.7543007,365.1347142,-29.41987631,-20.9537711,-7.084171966
31.24465766,1,0,0,0,1,1,1,0,1,1,78.08836822,-150.2521381,-153.7738989,17.85298629,16.34745272,34.93335564,863.4635268,208.278244,410.981875,2.002869107,-24.56285378,21.83238921
31.24465766,1,0,0,0,1,1,1,0,0,0,61.17054874,-130.6481777,-156.6956115,18.53852324,8.933224375,11.46986971,795.9738958,410.5026192,874.8569176,-24.60122354,-24.10728542,-14.63585926
3.124254096,1,1,1,1,1,0,0,0,1,1,142.6342826,49.37796833,-89.72114033,33.29944447,5.495143068,33.72255707,580.0879172,910.8771046,569.8189331,-6.928195638,13.01299701,-3.601624831
3.194217233,1,1,0,1,0,1,1,0,1,1,-127.0903408,-51.40744511,-60.36401456,35.63791206,37.68014742,30.20650088,542.0414073,991.4587165,152.3767337,11.08160606,23.94129673,-2.960156334
31.24465766,1,0,0,0,1,1,1,0,1,0,-168.0554301,-29.77089311,-79.87147417,43.22124923,21.95442207,2.169892048,523.354906,898.1017726,987.5684367,-19.51351988,-1.400861756,8.975538381
3.932161547,1,1,1,0,1,0,0,0,1,1,8.476983885,7.118164917,-44.88015455,21.17574297,40.21877979,13.96001358,738.7656726,438.6210037,386.930612,13.28837562,6.040416526,-9.62167685
0.903708915,1,1,0,1,1,0,1,0,0,1,-133.2879977,101.0063029,-110.618362,36.47254815,41.29932842,11.47657676,932.3623899,391.3082921,342.5448458,-8.085638517,-7.62046673,1.180914719
2.885166217,1,1,1,0,1,1,1,0,1,1,-112.933478,-138.2114549,-84.4270069,42.86691352,4.176816629,29.69317738,68.0618401,903.0497184,959.4382253,27.35339232,21.97937523,-22.84431279
3.340353413,1,1,0,1,0,1,0,0,1,1,-104.2538598,95.04096083,49.17370373,24.55092267,40.56190948,35.67196904,656.752709,66.18780895,484.5795346,-15.68713657,0.826650604,13.56298692
-3.823226246,0,1,1,0,0,1,1,1,0,0,157.413985,133.8920595,-100.9369497,2.113029442,40.84282431,38.58400946,560.2915702,397.6547431,479.1263061,6.658845497,9.842359583,-6.2748667
21.37432373,1,0,0,1,0,1,0,1,0,0,-61.69514174,56.78443503,1.850663883,37.48701762,15.55443059,11.60398607,382.9288833,390.6751464,235.9737553,28.99710486,12.45282564,-11.72057357
3.509735349,1,1,0,0,0,1,0,0,0,1,58.15330355,-9.622553735,137.4332888,32.34905548,42.83482285,44.19707905,188.6648929,180.0893229,360.176533,5.414382429,25.48139934,-29.83470064
3.371745853,1,0,1,1,1,1,0,1,0,0,-77.26657111,-172.6494626,11.12720894,11.17880763,44.16974958,9.584967627,247.9426525,276.1906602,783.0939535,-5.366820055,0.712362084,0.394555784
3.079616777,1,0,0,1,1,1,0,1,1,0,44.6488022,65.3695514,-63.71521567,20.46559133,35.89344086,35.25923443,588.4144349,802.9164956,879.6455716,18.64241945,29.54946887,4.417587093
-1.229772457,0,1,0,0,0,1,1,1,1,1,-8.923089606,-74.88103177,29.0674895,25.87087511,41.96943271,35.66899858,94.19605036,766.1987081,661.0110793,25.26709511,-14.10341562,-2.880182291
-5.477994321,0,1,0,0,0,0,1,1,0,1,-13.9230535,-148.041093,-177.5486805,30.5128395,8.252945031,19.8996382,805.3423964,739.1565306,658.1707748,26.81260733,-21.32772526,11.71935544
-4.788779823,0,1,0,0,0,1,1,0,1,1,-8.56673318,-102.6197205,-118.98462,42.58041405,35.58735556,20.01659436,172.1811925,476.7398562,912.1257081,-6.471891401,-8.169517376,-20.05938841
31.24465766,1,0,0,0,0,0,1,1,0,0,147.8063849,-99.05812871,56.21239315,39.80903343,15.0005556,20.68102648,851.6654591,884.710389,552.4747496,18.71050635,12.42775912,-4.571268342
17.30642062,1,1,1,1,0,0,0,1,1,1,156.6024493,-130.3511072,-163.5687035,15.71739349,1.084486784,15.55808138,559.544616,982.6730273,800.3808053,8.8437228,19.19519145,-6.923579531
3.593642734,1,0,0,1,0,1,1,1,0,0,41.39812853,111.7410741,68.67137283,44.0020206,3.882717749,44.63646751,190.9079705,544.6165524,814.4877188,25.08200777,-2.101595237,8.375752676
31.24465766,1,0,0,0,0,1,1,0,1,1,65.58650326,99.57603114,80.19540428,25.23270915,30.27690842,15.14247652,975.3764207,870.2028223,828.8212127,26.88279857,-14.37061192,8.466152962
2.61105817,1,1,1,1,1,1,1,1,1,0,-133.8008767,-153.2754941,-147.6798857,28.08409817,27.77838112,15.19594879,666.7632849,367.7267906,980.7319052,0.700665481,-8.83482136,11.34979812
4.595618741,1,0,0,1,0,0,1,1,1,1,-52.66449557,-61.63893551,29.89766512,16.83242598,43.3735405,43.48056146,421.5319104,380.3173371,625.7880377,-18.0795156,18.60666995,14.62514052
2.849320906,1,0,0,1,1,0,0,0,0,0,-43.30683762,133.7022715,27.40408202,8.445897313,44.68027271,40.1594223,21.03415236,423.1596872,833.7521879,9.068749681,-4.803073918,15.01518501
4.43369768,1,0,1,1,1,1,1,0,1,1,171.4397786,68.03088825,-131.4263303,11.8539326,43.01230742,28.30895905,581.1457434,125.7330548,678.1308662,2.976304515,1.706692845,12.30839858
4.185290864,1,1,0,1,1,0,0,0,0,1,-16.95952724,137.1307509,168.1353252,16.35172197,44.26190426,3.778607314,83.94298022,948.7727553,706.3905847,10.26659904,-1.262421465,-21.58719495
3.011794295,1,0,1,1,0,1,1,1,1,0,-145.3144909,107.1903341,124.3920636,27.81601585,3.949637656,12.0885714,214.282435,314.9847003,285.8886794,-3.418689402,27.22778778,-7.127282138
