Fitness,Label,A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2,I1,I2,J1,J2,K1,K2,L1,L2,M1,M2,N1,N2,O1,O2,P1,P2
1.485863535,1,2.648582486,4.416539342,3.861472997,1.505886451,3.20667936,3.376349999,1.804967597,3.735114288,2.923394427,0.417477628,0.055165372,1.378897633,2.64138869,4.321900898,1.215311266,2.045455818,4.691152683,3.62071488,2.669932264,3.725847349,1.85979291,1.419167888,2.640665124,4.229208031,1.984255894,2.040771594,0.414725321,3.451304295,2.825564907,1.098810663,1.911766563,0.463966108
0,0,1.276964117,3.314709927,4.48128814,2.728669447,0.35294897,2.857492057,4.125941576,2.837503912,1.468330129,1.617759204,2.417875243,2.956815489,0.091639088,1.924863817,2.505865058,2.187095142,0.083457263,2.895646623,3.321281852,0.263320054,0.743192387,4.614279481,4.757273509,3.581396397,1.135958202,2.11965162,2.620556901,2.910486399,1.532610186,1.474783853,0.524579168,3.971437094
0,0,2.849749126,3.825998548,4.374946326,1.464948355,2.507527825,4.818307846,2.312059256,4.272219047,2.08873273,2.558722633,3.147924698,1.435724234,0.140671873,3.624707952,2.953184268,2.477544812,3.290668846,4.47813251,3.62920272,0.70735343,0.848820346,1.589409831,4.088782106,0.517976939,1.010488307,4.959729214,2.723076555,0.854493514,4.255530989,2.877710483,1.818586937,1.943723353
1.536831208,1,2.876092322,3.845708448,1.963559441,1.606668031,3.515528011,1.861451093,3.261179849,3.483455523,2.16911151,0.735934308,3.781727036,4.500907971,3.875076628,4.431833039,2.017131353,0.47174048,3.10309616,2.759944451,4.99919984,3.598609367,1.553731009,1.247811457,2.905735663,3.084166152,2.990423413,3.674074982,0.85321353,0.087046309,4.402132026,4.086760119,2.704500366,2.321153057
1.499671501,1,1.993845963,0.009458013,2.90617588,3.183199804,3.305136956,2.762690201,1.547224286,2.359804143,0.477608204,1.245318724,0.689129153,2.684453872,4.471829581,3.204953496,4.465917318,3.217799377,0.803624679,0.651529333,3.516206198,1.934338718,3.570631196,0.815485087,0.471038233,3.523137661,0.38790857,3.816058463,4.473799007,3.86161105,1.242475551,3.123179114,3.907275355,1.273965844
0,0,0.852797619,3.027768407,0.241874007,4.087548887,2.606225337,4.65435089,1.043116692,0.051525886,0.769071099,3.255544714,2.884547064,1.415091924,3.836431802,2.483215825,3.696092972,1.458315646,3.719449676,0.164878792,2.406383714,3.338213805,3.140406055,0.651911092,0.777406832,2.071811229,0.244429934,0.916218112,4.943386639,3.406429835,0.935379189,1.726491872,3.651774571,4.200167699
0,0,0.896947981,1.792767212,1.409507386,4.866924046,4.828688884,4.404350576,0.452656666,1.32250959,1.953143652,4.786797245,4.530012522,2.504248602,1.116642277,3.254551567,0.598763071,3.068789404,2.528071915,3.62489536,4.746783356,3.778918023,1.670351761,0.021376729,2.153423078,0.021209754,0.538894124,4.148315016,4.121689199,4.346212468,4.467670784,0.789822006,1.355651862,3.95815357
1.395924336,1,1.948743726,2.961227084,0.102791001,0.590285594,3.854580613,2.598829848,3.042835709,0.817325383,2.476139808,4.085279513,3.367854134,1.657978066,0.413864963,2.4136146,3.790973976,2.063460176,2.12526032,4.824005098,1.065590868,2.015035889,3.068502099,3.699514918,0.394626529,4.085828129,4.677165516,3.654138783,0.040902541,1.130183777,4.649447857,4.471076581,0.645654876,1.911976172
0,0,3.095151986,3.305358056,4.283235866,1.842727921,4.400869609,3.967428866,4.872436372,1.894951387,2.088668663,2.972265406,3.530559383,0.202013084,2.483420899,0.454670062,4.37160152,0.07199763,2.71119709,0.154851236,3.155512827,3.426944731,4.238160169,3.49444198,2.417403983,1.724806817,1.721859065,4.134620194,3.668743703,1.57822705,4.252280867,3.973543129,0.701936589,4.917043859
1.498489312,1,3.915517432,1.209727795,4.521969785,3.950164475,1.172051519,2.949027101,3.317978211,0.456040365,4.343803696,2.039460388,2.16380275,1.674446778,0.799881699,3.083223342,3.858069695,3.802458048,3.128722187,0.08662282,3.787005983,2.349319972,1.540252993,3.420592969,4.313589927,3.150847903,1.198574152,3.328815346,2.711700436,4.295859778,2.362295199,4.971138021,1.901773714,1.637025846
0,0,4.56841522,0.860015798,0.924309721,1.74209087,1.641092562,0.849418171,4.109263127,3.813997072,0.179778665,4.421218885,3.469032939,2.949924884,1.411448439,3.905173797,4.792267787,4.544094945,3.145838468,4.582576734,4.038495474,3.93124444,4.894894263,4.798725283,0.229386425,2.140830507,2.916650049,1.22325925,1.992922002,3.544017329,1.951617512,3.220803634,3.606394807,3.015577039
