Fitness,Label,A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2,I1,I2,J1,J2,K1,K2,L1,L2,M1,M2,N1,N2,O1,O2,P1,P2
1.42006333,1,1.384614925,0.230856953,0.485658906,4.117289142,3.474143115,1.5854974,4.751110244,0.172230403,2.193721798,1.907792285,3.827583941,3.975999506,0.934363023,2.448821979,2.227931004,3.231565051,3.546824154,3.77343341,1.380125385,3.398513384,3.27549002,0.813058676,0.594988408,2.49182026,4.798719793,1.701928633,2.926338755,1.119059697,3.756335297,1.275475577,2.529785258,3.495383613
1.485728851,1,4.454516263,4.796457126,2.73607765,0.693122214,0.746470028,1.287541271,4.20358628,1.271410895,4.07142413,1.217624844,4.646318116,1.74991883,0.982976252,1.25541929,3.080223381,2.366444245,1.758297535,4.154143139,2.926320456,2.748618041,4.585968319,1.429195094,3.786001146,3.768645471,1.902229235,2.839108204,0.379271448,0.269750593,2.653987765,3.895836151,4.670053421,0.649531042
0,0,2.844118304,2.346953205,0.059510348,1.685613222,0.810911541,3.971422703,1.55607521,2.642665678,0.828243647,3.009909707,1.314856423,3.270395492,3.446072516,3.740757964,2.252707993,0.41910689,1.144884844,4.566686808,0.761890095,4.129084887,2.691712176,4.980673583,0.390877644,2.213391349,0.533263851,4.809490404,0.023171121,3.874552324,4.086516103,4.343473527,0.422179228,1.998913245
0,0,1.299352014,4.000342401,2.157069137,4.553237972,0.909235142,1.319014583,0.727694902,0.680342794,4.346461038,2.898522937,2.749301009,0.724773991,4.265155589,3.110275657,1.754761904,2.566247699,2.009040169,0.379833458,1.199580768,0.616594674,0.919538941,1.199762628,2.086335345,0.248272152,4.51358055,4.723935949,2.454320462,2.446263192,1.688597049,4.500269232,1.846233906,0.556013776
0,0,3.901260342,1.948694185,1.20845643,2.019560728,0.482272626,0.659866463,4.710252954,4.780672701,2.876042975,0.298897715,1.173899567,1.765792856,4.105970201,0.077017188,0.215119008,0.844950147,3.245577375,3.658611928,3.238729816,2.254618532,2.735044461,1.481604028,3.723464035,0.944775075,3.433877167,0.917555779,1.842422982,3.128092804,3.901137176,0.405628844,4.646929855,3.878563393
0,0,2.433958162,2.179292943,2.233918747,1.53174736,2.542543277,2.553857821,4.088138542,3.974157084,3.221590651,1.893046913,4.057902291,2.664127944,1.753635518,4.69500781,4.379714057,2.750781714,3.11237543,2.935223523,1.038711464,1.506231651,2.354616743,1.152440801,4.221543963,0.973821448,1.129608905,0.853540236,1.138321489,2.178493421,1.555511433,4.616898211,2.151036957,0.924081601
1.004788965,1,4.524404843,4.898741892,2.194349866,0.555596117,1.29032348,2.043599231,2.97448037,1.311058739,3.014215447,3.556078902,1.10873367,0.587088254,1.483379366,1.59389151,2.120833799,2.539291423,0.427578985,1.312411173,4.005073114,0.146101388,4.644270697,3.651654314,2.443044869,2.892625305,1.186417899,2.294244141,4.815442696,2.734028594,2.605679154,1.157971934,2.44448872,3.120300441
0,0,3.395677704,1.977576078,1.837183243,4.939910016,0.188694331,4.425840041,4.566434138,3.980919368,0.493561393,1.309355919,1.6767842,3.398639757,0.682765687,3.606137493,0.533809308,3.268786743,2.470869683,3.895258616,3.575185392,4.518602803,4.454612522,1.670815264,3.493729162,0.989049133,0.152704732,3.720371302,2.500112178,2.399610706,4.52361119,3.049333242,3.088331948,4.297211528
1.420231151,1,4.027447123,2.883607578,0.914612347,1.199660053,4.432559665,0.143370762,2.449506943,0.839635728,4.893403248,3.563472358,2.502358121,2.355441873,0.298094338,3.409859521,0.212155688,0.357227323,2.608249212,0.483650129,4.090742769,4.08773546,3.612197962,0.749327212,3.298026265,2.592974713,4.864872774,3.244957464,4.001652877,2.268988544,2.161957519,4.126568977,0.417349074,0.665855038
1.348954277,1,0.866943066,1.954689012,4.156898714,4.016821958,0.302355896,1.996288853,2.634379153,2.08399734,3.284299455,3.139866796,1.4599204,2.158255851,0.077435628,4.920318622,0.83584205,0.531081725,1.8620487,0.990592013,2.44843819,1.697467067,4.758152324,4.601660199,0.263384988,3.689290478,1.345597132,2.114178075,2.739354506,4.713684921,2.088720522,4.915262332,1.507274744,3.50549378
0,0,3.331694258,2.695632325,3.490527601,3.332639567,0.890662272,0.640071999,4.995401974,0.855605332,0.163004103,2.805998964,4.409332502,3.345876523,0.952166336,1.84458273,2.303629686,4.908189755,0.782024761,4.277614029,3.223822684,1.881361051,0.954618476,2.141264965,2.410110305,0.603058066,2.947537423,1.130938399,1.923095622,2.914931914,1.259030612,1.452203321,3.085454422,1.326404549
0,0,4.121881333,4.913316999,3.651243961,1.719385021,2.920346666,0.538845076,4.531540753,4.398268622,4.088802797,1.303639995,2.971781253,0.112562964,2.126296601,1.563594434,0.807423722,0.893830934,2.114428446,0.471146694,2.992618344,2.354621282,3.479746567,3.49943925,3.192653791,0.16801918,0.344030496,1.597998676,2.654321403,3.272228539,2.038095985,4.099906114,3.591794716,4.843246651
0,0,2.656669533,1.625728409,0.528146017,3.054793294,3.894011209,2.117264595,0.454116429,1.332357454,0.768283588,1.405026513,2.200425695,2.635713709,2.287121828,4.376857993,2.590260542,4.718113123,3.18854549,4.788469699,1.203535177,3.380611519,1.445322858,3.359040827,3.475702498,0.339963842,1.273950783,1.120200154,3.339163635,4.221960783,1.722312057,3.902598264,3.376660329,0.033576572
1.486647445,1,3.010852438,1.933855973,4.579956221,0.005755286,2.312245796,2.121745199,2.30458183,3.850798643,1.612359036,3.923696474,2.356785769,0.178813666,0.879372078,3.608790167,2.367429965,0.763606002,1.705623035,3.036946069,0.958726277,3.6921342,1.214247992,4.58712171,1.345307933,3.827500083,0.943309884,1.437490865,0.455567318,2.881046903,3.416816216,2.732965573,2.128644209,3.222213907
0,0,3.238088151,3.39508377,3.178933553,4.725870566,1.044674612,3.546408514,1.181152885,0.596981239,3.036519703,2.250688485,2.293627468,3.30972376,3.851427574,1.751090067,3.310047992,2.08079295,4.209645763,4.164584095,1.282204961,3.067303684,2.911245823,2.703696686,4.349705162,1.323895132,1.590370377,0.596072705,4.699147352,3.227759375,2.397316125,3.196584805,2.723580553,3.236557401
0,0,2.71942967,3.605233103,2.612476529,4.968523121,1.093383162,0.528991366,0.548487323,0.317956855,2.022899979,2.24186456,1.829080884,3.817523204,3.139481898,3.859901928,4.664267851,4.86370427,0.960141747,0.694371014,3.481331685,0.469100134,2.627022019,2.651721092,4.305699057,2.424266668,1.967281806,3.357155698,3.706289717,2.600262337,1.738563356,0.749986269,2.930460336,1.310726589
0,0,0.222270461,3.774666336,1.213926789,2.212011565,3.438980426,1.796141052,3.681700372,1.973537376,3.417079335,3.520237152,2.211527067,0.097888118,1.654289401,2.121547484,1.351352117,0.98526899,4.108605925,2.149607047,4.438854771,1.955914977,3.845571937,1.983957585,4.042570479,3.775385495,1.886977724,1.08009458,3.95203609,4.746519559,1.63782717,3.356321852,2.193224913,4.167502978
0,0,3.844271262,0.836267727,4.309902394,4.949360768,2.572117283,4.421405116,2.940130277,0.773761743,0.999314114,2.034774186,3.743528591,4.127919079,3.94981515,1.592621227,2.670320637,0.449753394,0.558528721,0.681462745,3.393261524,2.475885095,0.94855203,2.475029125,0.73804111,0.274870735,4.253563371,2.802797637,4.648044334,3.483336003,2.913954826,4.076986057,4.395069523,4.94455808
0,0,0.002611877,4.327192955,3.062832347,4.949751029,2.638400347,2.397616926,4.006738028,1.139214679,2.490471456,4.504262443,2.873306096,4.225890925,3.69320146,2.929935179,1.23367263,3.332081087,0.417414068,3.129798926,3.30472279,3.648759277,4.453760582,4.911516114,3.845145427,2.907232439,4.641565312,2.900451829,0.084914692,0.604297855,4.313553593,2.421482556,4.224278373,1.04702542
0,0,2.761456708,3.149416925,0.159955079,3.073567096,1.812057311,0.247662895,2.447849946,0.96255198,0.615418738,1.027470855,0.732574553,0.945360872,0.213262055,3.175989584,1.409334279,2.69298339,3.475815197,2.495580067,2.679005279,2.225915826,0.619661388,2.451786467,4.264990777,4.369637029,1.351471661,1.042306794,2.824897854,3.201559126,2.085144758,1.029877578,4.739665606,0.410356035
1.389423045,1,0.528547133,0.71020561,0.832302204,3.10479322,2.868548824,0.260389451,4.656006923,3.643308408,3.689208269,0.317022503,4.302202815,4.672025595,4.921991561,4.294694083,3.927794946,2.566887093,0.888012303,1.992947484,0.669656255,0.154447744,4.69570853,1.506530323,1.477669172,1.664681409,2.335340935,3.240992032,0.126140907,4.211033062,2.795162725,4.270499746,1.739395972,2.23013324
1.375507314,1,0.271197422,0.885537669,3.31404031,1.654144976,4.492430689,0.590775992,4.942089644,2.699910495,3.534587097,4.9974581,1.439246724,2.072612694,2.324199708,3.819785392,4.091020195,0.501107701,0.890584769,1.798174567,0.283523445,2.609428368,1.679244873,0.878345148,1.04473337,4.525767795,3.376955887,2.342341,4.560662371,0.520057874,3.727730369,3.681337278,2.809307126,0.920970488
1.515926521,1,2.986056752,1.49968495,0.670614664,1.063007667,4.474708377,0.357264064,1.212432795,0.268771961,2.208610285,0.066416002,4.485956755,0.983290957,0.466852584,1.536834498,2.280288334,0.508346968,4.976948638,1.660464167,1.486734079,0.310226107,1.491219859,0.231756324,2.527140712,3.807129433,3.155349996,0.449458254,0.404312116,3.886202683,4.525673721,2.668859759,0.54577106,4.129044289
0,0,1.690488594,1.469865265,3.731567139,0.051683092,0.242236696,3.339580608,3.017339919,2.630512329,3.648547241,3.536267427,3.906885259,1.439884878,3.462659932,2.783349175,1.982603963,0.307953335,3.900877657,1.68791932,3.039329536,3.706270248,0.52406621,0.639441899,2.747700535,2.426147043,4.452378396,3.994801394,3.671705418,0.256659431,0.364426495,0.442637298,3.991754321,4.715040698
1.364224099,1,3.418577862,0.660414779,3.613622698,0.551767403,0.587464261,3.203589615,1.644071074,3.269060113,3.745657316,2.915928657,3.70016164,1.174134574,3.674787708,4.852992625,4.334651459,0.431172649,1.832183082,1.845994022,3.425142363,2.989708177,3.946819718,1.838264592,1.030139298,0.433332737,3.859669585,1.028372607,1.941358155,2.75889266,1.14476626,3.209703102,2.422401862,0.759227626
0,0,3.909659833,0.503031612,1.470331669,1.186865099,2.654361285,0.457493657,2.026577099,0.524231236,0.561419811,3.922139454,1.45785159,3.017667194,4.822113336,2.16242497,3.473760973,3.790496376,2.163211631,3.277490199,0.548775254,4.668799242,0.937304032,1.330894195,3.989151301,2.438018877,3.84479132,1.980033726,1.364693971,0.18617317,3.366474571,2.147822296,2.258696175,3.049285846
0,0,0.297016484,1.579057192,3.863610654,3.482164945,0.626660906,0.650757252,0.461761694,0.039101468,2.115546926,3.277865875,3.614612623,2.656046468,0.544089691,3.158831868,0.632499327,0.671516522,0.492970464,0.710136242,0.841256492,0.981244611,1.587398876,1.582144996,1.087816547,1.25520923,4.464612026,3.516116123,2.778689714,0.922168339,1.060154213,0.386734041,4.569002054,3.533576088
0,0,2.788944834,1.56714495,0.831017815,3.112486296,4.939673675,0.852160115,1.288961253,1.983996593,0.369973848,3.420480335,2.011941663,4.914176007,2.010919926,3.103359736,0.771849027,1.906726022,0.805669859,3.790562157,4.35555561,1.753883724,3.427678544,1.470743169,2.653146519,4.162116931,2.987450959,1.676556654,1.496125117,2.262962708,2.113228266,1.79803159,2.791595999,3.712726829
1.306959759,1,2.121673918,2.146778943,0.624363794,0.12217008,1.450926326,1.587602914,3.26845067,4.78467962,4.678654364,2.289431669,1.202391984,3.819489721,3.796636916,3.703240325,3.718441707,0.529602084,3.407802152,2.316302893,1.060816026,0.492593688,4.11787237,0.875048687,0.817849549,3.329936082,4.471946877,2.582791042,3.513511535,0.767951883,4.767285349,2.704420406,3.398669491,0.18281509
1.470862332,1,4.046019256,3.743094359,0.60093509,2.625225824,1.629168144,2.7322472,1.994403762,2.075466933,0.903688801,1.276933702,0.102678873,4.618378063,3.268499445,4.66306786,0.817561843,4.605486279,3.973289427,2.886970984,2.200177979,1.288068684,3.759731969,1.143347411,0.320935437,3.836647554,3.356010927,3.576062574,3.210304142,2.095241468,1.953810411,4.080700514,1.587139318,4.072698865
1.525760239,1,3.945367575,4.261319452,2.528183088,3.178306944,4.754472077,2.219820775,0.300094099,4.333749485,3.155943671,1.775368259,4.985016358,1.120857495,3.262255365,3.02495321,1.936227157,0.710935796,0.125674929,2.105561269,0.920501447,3.628876337,1.851813433,4.207800437,3.671148456,2.855129364,0.884275288,4.786920113,1.326610181,4.622904476,1.118852023,1.867819038,0.437501748,3.200582741
1.27985549,1,0.903084439,0.225255537,3.615867396,1.737188228,3.303084123,1.919343005,3.136732512,0.108249073,4.552849943,4.002793281,3.729237422,4.065564068,1.916531593,3.086396162,2.877474299,2.650258524,1.375348779,1.243144798,2.258193852,1.13856413,4.022247918,4.930521209,0.149959751,2.678320953,0.4353861,4.010457203,4.945724549,0.334731292,4.696991809,0.090887668,3.419193069,3.9186824
0,0,2.670687839,4.426797255,4.495024495,3.12968813,0.689344962,1.089007969,0.910705379,0.20909932,0.534708293,3.082217425,4.698305051,1.772278655,2.05314545,4.921747085,4.727895945,3.383223392,4.941511312,3.834156936,1.683496322,3.311909302,1.220826434,1.477536254,3.400891856,2.639234152,2.057967567,3.01319109,3.75260028,2.917665871,2.758962575,2.917853094,2.5590996,0.412963635
1.501636251,1,3.597850674,4.980780556,1.772671525,4.856294076,1.732243807,4.432719309,2.273474325,2.067136445,1.088660342,0.628272937,1.544572968,3.630522158,3.914360365,3.468938075,0.049011261,4.21606669,4.611659989,3.854771103,0.21329928,1.890930685,3.521698122,3.647565228,1.121385353,1.345273659,3.365155825,2.387460989,3.118582063,1.182224663,0.885618772,4.148216928,3.83460834,4.672391366
0,0,0.539444525,0.911137528,0.495476412,2.44881901,0.966226652,4.479457869,0.495448248,0.220827859,2.786475779,3.862475336,1.559700287,0.894912397,1.694778391,1.050728185,2.550762599,4.531821616,3.144619693,0.507669444,1.954273764,0.273083076,2.506414566,2.158605859,4.987801748,4.058012905,2.428258349,4.472238778,0.687732974,1.950024572,4.636781125,4.587469162,3.567870058,3.091686918
