Fitness,Label,Xin1,Xin2,Xin3,Xin4,Xin5,Xin6,Xin7,Xin8,Xin9,Xin10,Xin11,TL,BL,IC
15.2552,1,-7.565916101,0.396485797,8.216251065,-10.96032414,-19.30507073,-12.00036648,-11.24516231,-17.78121941,-5.47349903,-5.037343468,0.12635625,0.898071922,-1.694790948,-16.9499795
25.8965,1,-13.24655577,-3.728482284,18.51283476,-9.080633177,-1.790895317,-10.79179926,-1.925683247,11.80941288,-13.87108392,-9.337794652,2.911642779,-5.105465039,8.393480836,-17.50300863
18.3344,1,0.728802746,-19.88484964,-1.438978288,2.582882102,-17.22997458,-10.54376898,-3.999664642,4.36895251,15.89819612,8.401393052,-9.928260075,2.601116312,4.810633371,-13.52375914
7.8645,1,12.37684658,-15.66672126,-8.869965606,2.489433284,6.866276319,-10.75818131,0.512306936,17.18066294,-0.515714193,-2.064989619,-17.38381292,-2.700185371,-0.135643488,5.164348991
7.5025,1,-9.128245885,6.600513383,12.99431182,-1.19836181,-2.043516722,5.205565117,-2.161344564,11.81592005,18.41417988,-7.208903828,-1.886006735,-4.231872488,-6.383179407,3.270588257
4.0954,1,3.37673046,2.413111927,10.48206744,-3.777794183,0.147131678,5.613496659,-17.81583849,-6.600580728,-19.38137586,19.72517021,-18.94470168,8.478960616,6.331961559,12.57440721
5.6523,1,18.01224907,12.04355389,-18.49280957,-0.822596384,4.794667078,11.49661974,-10.04106056,6.972703014,-7.73861935,-8.362605787,0.672243752,7.600414172,-2.733407645,13.25270014
5.7163,1,-0.149663171,-0.357480086,-9.192588366,16.83412386,8.502025203,3.218777125,-12.19387671,-16.20488931,4.748237829,9.672323244,-12.66023556,-7.418497823,-2.558746673,-8.275076008
2.2599,1,6.088770152,-19.4494438,-11.5444737,10.54984937,4.59807239,-3.746989674,7.19675051,-6.728401315,15.32385948,-8.308954885,13.09716035,8.25820908,8.626556638,10.51807239
19.3835,1,4.75361439,-8.21380606,-6.714290958,-0.059513364,-14.10865624,-15.76592331,8.68679156,8.11074734,-3.310418802,-7.493307938,13.7855654,-6.491326041,-0.491214331,-19.87471164
8.0432,1,10.71089565,-9.181749685,3.048668723,-3.312930126,5.457572827,-2.179404659,1.54646516,-17.62797378,3.020034297,17.40399735,15.43326734,-7.219666331,-1.032289992,-9.075532031
5.7699,1,14.60543052,-0.978499592,7.376864201,7.178636818,10.41177937,3.386332795,3.97969682,9.198563379,0.497479599,15.66312319,15.26676793,5.348550077,-3.162535813,11.11849617
11.3485,1,-6.543182909,-13.62804467,-18.1975729,0.358073286,-11.78191135,18.94377454,0.684015177,14.35106281,-15.52639594,2.390311412,-12.35601209,-9.760596749,2.338157027,-9.010354393
11.0039,1,-4.271159449,-15.29262768,-4.614797611,-16.81297348,-10.55629932,8.417901585,-1.977530796,-4.819902126,-17.89382782,14.96107351,3.487343765,-9.081487494,-5.059706307,1.92239301
11.6415,1,-16.56005352,-1.102164258,5.365421871,-1.896859518,3.563599016,-9.080718083,11.07084365,16.97422199,6.934134933,12.26495347,13.81163604,-5.455844782,8.737248516,-2.904209118
5.7919,1,-2.718196125,1.031012813,-3.854867993,-16.06032264,-13.73609519,-4.577902072,2.48650618,8.980537063,7.35599611,-3.13426412,-6.068844293,4.437170718,3.610390459,-2.181485035
7.919,1,-9.437656638,9.538709185,-14.03010072,-12.38449294,13.20257832,-12.55159344,-3.082232189,11.20594158,-1.946839353,13.06428768,-19.94699251,8.667253847,6.10455822,-1.814460007
5.3123,1,12.26908189,-17.14809244,-3.422430031,-12.9817063,-4.113035699,-4.116697716,2.285030735,-1.140009802,8.911668212,-14.63560206,-17.68712025,0.561563135,9.461798594,5.873910845
0.0001,1,10.41074164,-17.72929604,16.38223725,14.48886234,10.06550716,-3.02638077,-3.009378782,5.898664635,13.03675976,-10.06815465,10.70656937,9.277420173,-5.050571672,0.813288772
8.6102,1,17.83003805,15.54899819,-11.73291281,5.993913612,1.848128498,10.76609052,11.08227983,0.977223049,-0.188972693,-2.305861173,2.574711103,0.546551876,-1.315827495,9.156740452
13.1321,1,8.377650214,-1.66179497,13.47806606,19.55181887,-17.91918581,6.992258684,5.918000464,-9.676552513,-2.5353071,19.59836764,-6.267785861,-8.157510013,2.871362029,4.974547361
17.9345,1,-2.38236629,0.758081011,2.455439265,2.769742087,6.799361441,10.88368085,-18.6038943,-13.29603962,16.71665066,-10.57264774,6.898740648,-3.659648753,2.474623325,14.27481705
15.4785,1,-3.978294783,1.603650664,17.32024709,-8.094593618,-9.331982231,13.24798571,15.0751977,8.269003328,9.052921766,5.418216158,5.757387926,-2.837258099,-2.606530085,-18.08500148
24.4679,1,-19.34000964,2.253282491,-1.900547759,8.194585215,7.118803003,-9.809250558,-0.2836847,-13.52484041,18.21498535,-11.87454092,-13.49243939,-5.007135013,3.875957657,19.46076831
8.5793,1,-0.411652837,14.06863901,-1.083881159,-17.26432173,-9.597643528,-14.36952127,15.62691306,8.820556803,-8.693632736,-4.904610851,14.207057,-0.280201281,6.887651586,-1.691642401
23.8029,1,-5.11748007,-15.27365653,-11.20776672,-0.78015141,-18.91838963,12.41511971,9.553198801,-0.755470824,-17.96236921,-10.89348586,-0.671339639,6.096562433,5.374503121,-18.4284381
3.4523,1,-16.19465009,-0.109938121,7.743328713,-11.05957442,3.71822559,-6.137481648,4.868620763,1.394291694,14.29524928,-11.69590215,-9.776474396,0.161807125,6.575934841,3.123632664
15.9821,1,-13.77412833,15.31097342,9.447040158,18.17735335,-12.03283901,0.972478349,1.85776883,-13.40562514,-14.99625057,4.9647165,-0.192745965,-6.695339516,7.60612265,-8.375948159
14.0705,1,-0.665475279,1.760226137,3.518896265,-16.67057399,-3.984477479,-3.958794388,-15.5343925,6.899070654,-1.911631184,-18.72172497,8.362524492,-0.565229271,4.530356957,-9.540095124
21.8277,1,-15.98469636,9.556176865,-19.95950459,17.11316878,8.753666603,-5.297181257,-7.617774591,16.85466612,6.357377507,-10.07543451,-3.370952129,-2.557613535,6.687142848,19.27005872
15.7121,1,10.85281234,-18.8307703,-1.013184487,-18.40377411,3.919657443,-9.314014032,-11.71782733,-9.856021235,13.99992294,-7.802741111,11.50461094,-5.897928942,9.482260751,9.81417419
11.5099,1,2.416588401,9.357866232,11.93484155,-2.704879355,-12.79623252,12.53327421,-15.925123,-10.20599796,0.666016649,11.30428956,-15.3043798,-5.360211299,-6.323019238,-17.83293258
23.7407,1,18.34933841,-2.514512504,-0.980945548,7.234502997,-5.849100508,8.2054972,7.638724262,18.26309414,-19.23745627,12.1871724,12.81822523,-5.139673139,6.044096114,18.60100444
12.1561,1,-12.40313809,-12.89894266,7.911712815,13.83816192,-8.710264584,0.929279872,-16.83725965,-7.38720355,-4.570331564,-7.091981985,8.799580432,-3.21213874,3.038419977,-9.117707043
9.7769,1,-9.187511574,-14.17349901,0.036089339,10.51718158,-8.791511629,-6.808355109,13.53055499,-3.894828819,9.775738362,3.036001907,5.206407322,-2.466310914,-3.667279574,-13.44421621
4.0541,1,1.766781786,-19.06592887,-1.109918037,4.158646356,5.930270356,19.15825719,-8.421555764,-15.91360732,14.30505227,-7.59513273,13.31212244,-3.116055394,-7.345640353,0.938028378
23.6185,1,6.79526235,-9.16670467,-4.657410077,-9.543945838,4.63044966,-19.37051232,-15.96574673,18.384623,0.806679691,-7.162155752,-3.614661771,-8.378461432,8.115126545,15.24002826
