Fitness,Label,Xin1,Xin2,Xin3,Xin4,Xin5,Xin6,Xin7,Xin8,Xin9,Xin10,Xin11,TL,BL,IC
11.0358,1,11.93777019,-13.57620987,9.517232257,10.28158074,15.25244369,-2.830318544,-12.50068879,-7.878737552,-7.169717414,-2.319732026,-5.524609356,2.512001128,8.776530902,-8.523839199
17.3674,1,-10.21602203,16.83415794,17.04866319,-7.6023508,-16.94098567,11.23511855,-14.77019335,-1.540727258,-2.393233143,4.200073927,-14.9191789,1.980882779,-7.35748648,-15.38653651
0.0001,0,-2.357066182,-9.156023311,17.76427715,0.665720845,-2.18832071,-7.656474694,-1.216098455,11.17772663,-13.24748523,-19.10196152,8.349165583,2.102994446,-1.726398727,16.59080939
6.7221,1,-0.912768897,16.64886989,-0.1237291,17.10212552,8.146039471,7.785696857,-19.81625583,1.608772086,-3.481184273,5.125196718,1.741428073,-5.680039838,1.042096753,14.50995297
-4.4905,0,-19.8024271,-14.99663368,11.00282846,-19.18454586,-14.29468884,-7.183571398,16.19000152,4.566223526,-19.36408286,-7.544223531,-12.28911969,-4.490640253,-9.465795049,13.22560644
0.0001,0,10.57112894,8.846287339,12.90869489,10.5817553,-15.17732017,-4.6267361,-18.8830717,-19.94782069,-19.72008097,-13.28863042,-13.98257086,0.309880019,-1.622349791,3.752504544
17.6178,1,-8.920763499,3.713082569,3.405610405,-15.13638681,-16.85625528,-18.7173501,-13.27326381,0.966847421,13.65474585,-7.743519571,-12.35357819,-8.697611851,8.920200428,-10.20935133
14.616,1,5.016167306,-11.7330599,-10.33027584,9.736503876,-13.7598474,12.92689118,-16.24058323,19.19190886,6.128829879,-8.63542795,14.68931195,-9.397203088,5.218767556,15.84707881
17.288,1,4.754985978,8.829820018,-1.445999768,10.35545695,-19.714321,-12.26056586,-16.34192902,-13.28269642,17.68992452,13.97728887,-14.50867708,3.214508355,-9.230206215,-14.07347763
-1.0475,0,-12.60943591,5.81447757,14.26213133,14.13502817,-0.238477121,11.23509789,-9.013847405,18.69518968,19.62117337,-16.62203806,-6.808263325,-4.634024682,-5.681543657,10.68087032
0.0308,0,-5.397822381,-13.83930895,-13.39912012,15.7345588,17.83159229,0.698695476,-19.26506413,-3.227767056,-15.11659403,18.07391419,-9.192786085,7.873064613,7.903833955,11.02128323
3.3016,1,16.35283712,-19.3327849,18.37154892,-16.98989466,-8.594661494,-0.475314535,18.82286939,2.724531514,-9.041186383,-14.83666558,-13.79231757,-4.623763394,-1.322211205,-4.163861552
11.803,1,-2.990140347,4.575570767,-2.127784081,-19.5190665,-18.62916421,-4.049182116,19.17800325,1.710756451,16.49548183,-7.033639181,-8.379339106,7.579476932,5.582883842,-4.223515703
0.0001,0,15.29303868,-2.973261019,-1.344880702,-3.002752659,-1.791598318,7.816982295,-16.17687087,9.33841267,-14.79929924,-0.138851437,-9.613660616,1.833333506,-5.447636445,18.20470845
