Fitness,Label,Xin1,Xin2,Xin3,Xin4,Xin5,Xin6,Xin7,Xin8,Xin9,Xin10,Xin11,TL,BL,IC
11.7901,1,-9.435298119,-3.520497086,1.978080276,10.85018668,-1.47557852,-5.966471131,12.89333412,12.76610624,-7.610135337,15.3505695,-17.96458989,4.816541218,-0.959897974,10.8301697
18.9793,1,8.350107439,9.488220163,13.6300197,13.42545314,-18.36198245,13.51404376,-17.34234077,18.05224467,-4.337398784,7.982997496,-5.151043913,-2.514349113,0.632355505,19.61162097
-7.9921,0,-8.979006273,13.94716253,-18.28543622,0.046656251,13.45297936,1.125428688,16.17190352,-8.535152759,-10.69652721,17.98613264,6.083985329,4.972766993,-7.992231264,-19.89290313
3.4046,1,10.7230953,-10.33671452,-13.20446824,-15.77832784,12.02735242,19.01843444,-10.50518749,7.419409595,-10.57623676,-9.893863593,1.633706293,-5.556124891,-2.151490157,-0.190229931
11.0007,1,-19.71355545,9.478439894,4.430630974,-6.537560477,-4.266466867,2.802793814,6.911629496,4.30782277,-0.899316296,13.35384528,-3.541508404,-2.220669734,8.779990506,15.74352874
9.9326,1,2.008808844,3.371971575,16.78361598,-4.900393155,3.688792575,2.276545364,17.82759826,16.70460694,5.901147755,-7.953225484,3.613807579,-4.064337817,5.868269582,-17.10661378
11.6833,1,-14.35708819,4.990989447,0.920412031,-7.360823183,10.12403125,4.554746157,5.659437108,8.302131131,14.28994174,-6.399429721,16.45125612,2.567057533,3.170535561,14.85380675
6.683,1,15.4142143,-5.537091734,19.36000833,-17.1349819,-7.520441798,1.992257664,-9.264222129,-10.64894503,-11.42535588,18.07054445,11.50616643,-6.810707828,-0.12766539,-14.32440982
-1.3131,0,0.823466721,-4.732649309,-7.607696252,-0.582008237,19.40235539,-17.24001933,-12.56740299,14.88807491,19.54225624,-0.58499164,9.714757898,5.177950954,2.879992844,1.56681671
2.3059,1,-4.693784064,4.765989986,12.85961194,12.27462038,6.431328547,-12.16861557,-1.233243656,-13.06105302,-0.247622215,-12.13453937,2.003011718,-3.588067492,-3.258410363,-0.952553046
-0.1091,0,-18.49459587,-2.667136631,-19.48796062,-7.043031367,2.942696368,0.202428522,-19.14759299,18.68122138,-2.829322235,-14.49052143,-16.49339482,3.552819727,3.443690852,-12.21863434
1.3128,1,7.142109402,-3.245550328,17.66599589,12.1448056,12.1718982,5.528464734,2.781301896,-0.840210457,17.41842099,10.9598203,9.661608377,-5.030239363,-3.717391569,-6.041509451
14.2217,1,13.56732496,10.31596549,-1.867768283,-11.86561268,-19.60015281,2.699022284,2.102669383,10.94833596,5.608110273,9.027937199,2.318257996,-5.874598811,8.34705363,19.376333
-1.6339,0,-8.095828892,-17.20559487,9.308484787,17.60678343,0.73418894,-19.59333418,8.47839336,-7.375259311,-6.921137099,-1.769842304,10.85151396,4.296826525,2.662877468,-13.47688339
2.2424,1,3.155691548,-11.8326287,17.31875257,3.326838698,3.434226813,6.930950977,12.45485841,-18.27324579,15.69795535,-16.16970022,16.79683726,8.648063716,-4.813177761,-2.570737626
22.1012,1,2.490314162,-0.330554627,6.752581747,8.008735794,16.38450386,0.298021275,-8.261625679,1.66621842,14.01535256,18.83982303,-13.2902844,-8.962138311,-6.476852705,15.62435987
-1.8287,0,5.570377661,-12.73737912,6.067230553,-10.12149681,4.151624156,-2.681743353,5.387541983,-12.40669458,2.824000955,3.767197366,-7.907095404,4.889674424,-6.874795108,-8.70352893
9.8883,1,12.50407927,19.96176186,-11.09908882,-0.578473023,13.73329548,-15.9788253,-2.127314446,3.510659272,16.21267023,8.7180081,18.62738558,5.371594447,-8.535845013,1.352416809
11.6106,1,14.09032074,1.765329008,-17.29366185,-19.54984114,3.068630516,2.318626037,0.593872288,-5.107436318,4.2874933,-17.99448385,0.328719136,-2.995650447,-6.997537207,4.61307595
