Fitness,Label,Xin1,Xin2,Xin3,Xin4,Xin5,Xin6,Xin7,Xin8,Xin9,Xin10,Xin11,TL,BL,IC
6.4782,1,17.02164608,4.382357304,-8.738533274,14.32133416,-3.686902061,0.456855866,-14.75181971,5.568532964,17.48198175,-8.142126684,6.427574463,0.171071329,-6.307071445,1.324730389
0.1009,0,5.842560511,13.44996999,2.884788263,18.94445605,-8.908494073,-1.768954645,3.850800268,-16.58704748,-14.57206505,10.73214841,16.19542976,-3.534011577,-3.611675352,-3.433071395
0.3377,0,2.200470809,-13.96590956,19.01339079,-19.58983354,18.42603891,-17.32244649,4.269865563,-6.544011458,-11.7548258,12.78278776,12.53294682,2.93491724,2.597270052,2.483924456
12.0199,1,9.003624148,6.898481941,19.2308645,15.58770131,-2.922962954,5.39320178,13.14777031,8.67947993,-12.18306555,1.026429956,10.091375,8.069409683,-3.950411167,1.581235327
2.2095,1,-1.559934206,15.29492624,13.83723206,-6.305056318,-0.523219235,12.75042473,-18.9160139,-6.477376966,17.63791584,4.20297017,6.12252083,-3.357508914,5.109615012,-1.148014801
4.5552,1,5.70436893,-0.195869561,8.34692145,5.594150024,-8.980719664,8.36270408,-2.832435624,-13.59166046,5.60936486,14.63019231,-2.423413949,-8.71866685,-1.031836637,-4.163469478
5.374,1,19.78340657,8.920381374,11.59026507,-0.64803109,-12.41232239,15.61025631,15.41349953,8.050618588,-18.93741732,-1.18018662,-2.866124786,-2.439394117,-2.677758215,2.934644781
4.8941,1,-5.946655954,-8.736212153,-7.597214579,13.63968916,0.009233185,13.29298772,-4.496379479,-16.13221527,-6.849789199,-6.849073908,-7.784130114,1.197126329,1.404992415,6.091216798
-0.751,0,-3.149123941,12.6318865,-19.33216923,3.780600197,10.67693572,10.62740726,6.371838178,-8.584857456,-0.631740345,15.83007149,-0.685487013,0.751086189,4.855773759,-6.268729967
5.5887,1,15.27630644,-11.148097,13.82449192,10.59319905,-18.45723395,3.492403645,11.01071481,0.105978505,19.15689575,-5.700769566,15.30874159,2.72658169,8.042552272,8.315294046
15.6239,1,-0.605432564,-15.8930885,-10.10351491,0.554477742,-6.131079995,17.0467291,16.61028353,14.76552499,1.405900913,7.952760939,12.87640567,-9.630479534,9.932325054,5.993421424
-3.331,0,-8.684277183,0.801818664,0.144553869,-4.647484333,9.148212954,-14.98080062,-9.848397954,5.038532273,-9.913554003,10.68166449,-9.585497449,3.331053132,6.857542546,-15.76037859
7.2599,1,-18.68928551,-17.28359576,15.44496424,2.527500438,-8.53787155,15.84754097,-14.66376788,-14.15774484,18.57127922,9.686676828,-19.82136355,-3.390935649,-6.764010251,3.868917083
15.0656,1,8.948911836,-18.35344005,-12.62252367,9.947311434,6.505939138,-17.69187551,6.763402033,-0.814449506,13.56002618,16.82887791,3.231760756,7.509308053,-7.556152395,5.526983909
0.0001,0,-17.66073083,16.0285084,12.53079627,-16.44535467,-14.32662106,15.27388498,1.985315166,12.9558762,0.674160425,10.71279545,9.630561465,-1.969955578,6.122854549,-14.26703025
13.13,1,-0.886572256,1.328264999,-4.805004352,-7.383920433,19.83080949,-2.82524153,-10.36630345,-9.461937344,16.56405636,-15.91654477,-6.376868858,7.809914075,-5.319963606,-4.851813461
18.7278,1,-13.61106421,-14.09685559,-3.295184441,1.46899377,13.94405073,-19.70032336,-8.122270748,-14.02950453,2.661384928,8.525446068,17.10388777,0.108461058,9.707224952,18.83624683
13.2088,1,19.0942808,5.163543057,-3.157464902,11.98447099,-0.526178401,12.52478315,-9.371548506,18.79702837,15.27259802,-8.934231006,-14.24913878,3.635293433,-9.573385789,4.239495486
6.4362,1,4.904858587,-9.514009768,-7.755134934,-13.68131982,10.48554985,3.377884862,12.76940671,16.90623554,-9.257931196,10.16583379,19.61157813,-7.991549881,2.793098463,-1.555374731
