Fitness,Label,Xin1,Xin2,Xin3,Xin4,Xin5,Xin6,Xin7,Xin8,Xin9,Xin10,Xin11,TL,BL,IC
9.7374,1,12.47738528,11.44812706,-16.28982395,-19.09802827,2.072167655,-11.18484705,19.74496175,-1.272122579,-8.391826038,2.52588683,11.84235693,7.040032259,-2.697245757,-4.238527296
0.0001,0,-12.35319635,-17.24954919,-4.203229909,2.216109943,-15.37160261,7.520217223,-18.66332236,9.865761591,2.893719604,8.954326963,-18.83551338,-7.871992878,4.711652269,-14.69675857
2.3002,1,-12.31320614,-10.3359997,-10.69397541,-9.126787608,-16.99549915,-18.61873988,-7.041437122,-15.41982051,15.57471283,11.51839259,0.482581315,-4.851200105,9.566018554,-2.550987476
10.8562,1,13.06278486,-6.063999241,-11.83450216,12.49519625,11.87972957,-2.941190992,18.61498211,1.953822804,-17.48530475,-14.78276782,11.81666557,-5.15696089,2.005501596,5.699223794
9.5345,1,6.696321392,1.631600954,-7.053944673,2.49490859,5.819893156,3.982228289,-6.11570437,-16.69767958,10.17274377,16.87279971,-0.1216227,0.052724071,-9.481693036,-19.54911432
11.408,1,3.358807769,0.385116072,-10.70292415,-15.40838618,14.51205497,-1.483592278,18.91847631,15.56070309,-5.534352529,7.684478399,15.74849329,8.244316384,3.683833909,19.65227299
0.3705,0,-11.46615192,-7.925127835,-13.19152712,-1.580971309,-2.387325743,-17.6178362,-6.862507085,-3.601838314,16.53745421,12.78942528,-8.148423256,9.308982042,8.938584072,3.384538474
4.3299,1,8.168348467,-12.55773354,-1.661507111,6.283548374,-19.80169749,11.92739679,5.489504161,-19.3977672,-1.434224005,1.454989925,5.20353044,-1.641053989,-5.970872357,-3.700713695
-0.0745,0,6.888438185,-19.36277053,10.60259944,12.49728742,-13.53539516,-10.21984698,7.017940548,-16.75923112,8.703878552,18.94829011,-9.0102312,5.779852065,5.854496001,5.617935287
6.771,1,7.459394154,18.98355107,4.550721119,-11.35326353,-2.567604616,13.68367847,0.261836824,19.36531047,16.99138245,1.252738068,8.337332887,-3.143509549,-9.914370196,-3.866371124
0.0001,0,-14.8415204,8.121230649,16.61879183,-8.366463694,-6.800800868,-8.599937573,15.75488627,-0.454676381,11.98194728,-13.45941341,-18.91453808,-5.464178258,3.777602901,-8.005404464
0.0001,0,14.76324512,16.26316902,19.11621984,0.251850309,9.226260651,14.38764646,-11.38623325,-5.923557532,-14.79120753,-4.543840479,7.989299454,-8.284012645,6.816314705,-19.2922685
19.1633,1,-11.61420885,19.72029408,8.410169846,-15.0044852,-2.898153351,3.879858922,-5.270722272,-13.03289887,15.56973044,-7.295319871,17.53991551,-3.600895494,3.166752259,15.56241718
6.4066,1,14.98616,-14.52388112,-0.076906002,-19.7584006,0.559870548,10.53840239,12.64384771,-11.84209535,12.53783069,10.24029815,-10.52153094,-4.168110392,9.326980163,2.23849382
2.3193,1,0.285670039,-13.26923375,-17.88243723,-17.45061688,-4.125582384,-0.286012228,-12.45259261,-4.544958013,-17.98672788,-1.998143207,-0.844852499,1.926055643,2.561497984,4.245317576
1.8879,1,5.31796078,17.75763124,-14.77864328,1.035013952,-7.941335814,-0.256083641,-19.66034809,-18.41951704,1.440969623,-1.011651731,11.60292928,9.542083416,7.654258773,-1.654836326
0.0001,0,-15.7600208,-2.631509005,-6.511226168,-16.92769653,-6.136853749,-2.438995355,-13.37172819,14.06085319,-4.729529301,-17.72742321,-17.29903913,-0.635856268,5.182607209,-15.7274734
0.3643,0,9.287736413,1.766457455,-0.371030527,-15.03743968,4.830966146,13.52061558,-3.373763209,5.259946741,2.127719289,1.690334792,3.865785709,-6.251797175,-6.61597337,-14.27705535
4.4687,1,-10.51479566,-0.631196768,1.140660489,5.034309716,-17.2174845,-3.330399326,18.4472501,6.143083538,18.71981358,-5.532200987,-16.64133429,2.414227273,-2.054347447,-4.054089577
0.0001,0,12.38550525,-2.373829992,-17.80883535,19.10034069,1.710961557,-17.1969998,2.712909636,-2.984565041,11.11140172,7.435195603,-15.94548612,-7.830329334,7.684291426,-18.09827891
12.4403,1,-13.63089592,-11.16633304,1.026900152,-12.45956544,18.57602058,-3.037549554,5.905028857,-9.905842509,2.725635766,4.721635577,12.21750872,6.687755411,-3.652687372,19.1280608
14.597,1,3.748238901,-5.638000623,16.8015297,7.802487605,9.451084503,-9.101204101,6.323229279,-9.932164062,-5.62557782,16.79389727,-16.50806049,-8.944319563,8.788617064,5.652680385
-0.8883,0,15.62511284,-11.46427887,-14.23482871,-10.67453437,15.2271781,6.098138745,18.92167877,10.09095617,10.50730162,-6.419578875,-8.64629122,1.403289227,2.29172352,-0.653156513
0.0001,0,3.233408375,-17.20341323,-11.83900257,-14.39264787,17.07992449,2.302060274,1.405995015,-11.66483388,16.84387217,-17.47219009,17.12699388,-3.496451548,8.116128892,-8.368432811
0.7257,0,-16.3443872,6.187453049,-15.28476726,17.98018421,-6.617194972,1.646458269,-6.703298522,18.95678561,8.643484112,-0.960789838,6.351795156,8.969327963,8.243750171,-1.666107907
6.8711,1,6.814503423,-18.94936415,10.09291498,-0.433733418,9.472509252,8.033563093,6.032470457,15.71676929,-17.69991648,-1.692313182,2.548409178,-0.6855992,8.515279444,6.185508476
13.4161,1,-6.503231373,-14.82476043,11.42706986,15.25600953,-16.84500441,0.596463294,10.72860507,9.929919936,2.238727561,-12.68914104,15.87778264,4.194816543,3.092160235,17.61089963
12.7154,1,4.134490114,-10.83455167,-13.69181905,15.05494417,-2.91141786,13.03695719,19.21423027,-12.74342473,0.611915884,13.47211205,-5.111520432,9.224703143,-3.490610355,9.109740002
4.4876,1,-19.45300397,1.344504212,-16.07242623,-11.44289573,1.167927758,-10.72220018,13.25523929,5.926851405,14.03109518,3.149752831,9.904142242,7.782962183,3.295511663,-9.343197706
18.8424,1,-7.522460959,2.126299741,12.09485701,9.594210536,-17.79720937,14.0769177,18.55453414,1.719844138,19.187862,1.663215011,0.824464189,-0.552496331,0.62029389,18.28992719
0.0001,0,14.11205585,17.43797408,17.25841961,-1.459942636,19.867678,-17.98522659,-10.97488472,11.63154385,0.72058824,-4.840601663,6.228521439,-0.666048129,6.580610346,-3.166459484
7.4798,1,3.356779743,-2.614843507,-10.77505119,12.14273442,14.07771608,9.143421577,4.400778018,-14.37792088,-16.04585285,2.051957108,19.10869581,-5.163504435,2.566885496,2.316328304
12.4593,1,19.38238442,-14.63766923,6.482196265,2.893145878,17.37041291,-1.153314873,19.70890219,-13.36163703,17.62850726,4.671421628,8.224758268,2.983582942,-9.475659339,4.145944015
17.0848,1,-19.59663064,16.69623534,19.49640782,-6.308468355,-10.22232441,17.32240498,1.608388285,-10.09508417,2.353448899,19.54969681,12.66195799,-6.152112691,-5.867185958,10.932734
2.3625,1,8.352814502,11.41053345,3.925004826,-4.223708855,-13.85034814,-5.450931464,10.08113987,-13.1025719,-13.30837961,18.24517816,8.890267156,-5.056333813,-7.418777266,-13.26543483
18.0245,1,5.79893432,-17.33414125,15.19495551,1.541266791,-5.650399334,-5.375917212,11.10932672,12.67967289,-19.44930814,-2.123360412,-2.811595,-7.748988676,-8.512814952,10.27554529
4.1358,1,0.289271728,18.20315899,0.460742463,11.39743659,18.91113946,-1.87451915,4.389243168,-18.81072891,-15.11795023,-17.73830387,-3.844031122,9.269305579,5.133622592,-8.668463369
9.0312,1,-8.894208827,11.90679386,-0.902150262,5.23359063,5.619093196,9.588827796,7.608250685,-13.73973762,-0.445098988,-6.41830563,0.736522025,6.211970161,-2.81909743,-6.018380137
0.1156,0,6.222050706,-14.05179811,-4.002773523,5.3382724,-3.27857945,-18.0424516,-2.498806348,-10.10415385,1.134833357,3.278556372,16.04170669,3.346479254,4.30507472,3.462103296
10.4749,1,-2.683797179,0.472733473,19.82903209,19.01194237,-7.188709221,-1.160446513,12.58407132,-14.49607387,2.391063458,-1.951951111,14.25331785,4.467603659,-5.17157012,14.94246858
18.0452,1,15.78440786,7.166161799,-6.387988427,-2.061414059,-13.09060017,11.32722532,-17.4813708,-4.820094693,8.598662165,-13.00051465,2.725701028,8.201789553,-9.843273947,16.23799601
9.6797,1,12.87132016,7.556778041,0.050351563,7.134858352,11.28391965,-4.544815672,5.857218243,1.147250579,16.77545954,-8.905175816,18.60043307,0.683649531,-2.626189463,10.36334745
0.0001,0,-12.57659553,2.067893308,-1.692554936,-1.604929467,-15.42137677,-5.570300926,-3.018525856,0.033196134,-19.16745068,-13.22223573,12.31103266,-0.13581591,4.143624975,-0.168039768
5.435,1,-12.61011072,-13.46635516,12.68606275,1.158531786,0.135742578,-0.814080011,15.27275052,12.67836732,6.869266489,11.93118334,-13.22949663,9.982302073,4.547387839,-15.81947156
6.5816,1,-18.34057492,9.31508864,12.26038371,13.42614122,9.744074534,-17.76227621,-14.9011312,12.31167722,8.817267504,-18.79547347,-6.004327644,9.765739416,3.184194697,-3.762967682
0.6538,0,-1.13907604,1.170539073,-1.084430405,6.769662471,-7.497000363,13.37281472,1.281908117,-11.6632752,10.16179737,-19.9138707,-1.012240829,8.587491879,7.933838958,4.448864128
8.4325,1,16.5928004,-10.47944743,-16.8417498,6.932714817,-14.91621465,13.79281348,3.876369495,15.22181436,7.203967962,6.21606349,-12.5231229,4.048375786,-4.384023263,7.111720748
7.5163,1,-11.14262949,-0.645395808,9.74189431,19.75363997,-3.625716777,-18.14766136,19.26569674,-10.09931251,19.32324719,-3.460794482,-15.50756272,-1.499086235,-9.015322654,-9.255421031
7.63,1,-3.546158834,0.038116429,14.46161794,-0.253641387,-6.770404565,4.055840603,-8.077620013,-14.36566854,17.10850576,-11.13172124,1.366307213,-1.692676408,-9.322583703,-5.047241811
7.422,1,-10.13665065,16.50565227,-10.61348725,-12.36249372,1.716455639,14.35618914,-9.446850826,0.020310825,11.50078326,4.570003948,-11.68207182,-8.712638215,9.334556681,-1.290620169
13.9891,1,9.083018744,3.149968041,-11.79013639,17.0294486,-2.37682951,16.49408571,-10.8984916,19.15191717,-11.42446192,-15.55672466,5.098530211,-5.018539584,-7.350710685,8.970560835
0.0001,0,-8.484879562,15.91149804,-14.00076649,7.92574345,14.7918035,-2.201696103,-8.558952935,-3.548635178,-1.526616058,9.171128971,-3.852427058,-2.852030185,-2.777727839,-3.883263752
7.6884,1,11.53887339,0.92988645,16.79616965,17.85443463,7.095934296,2.414317625,12.11571568,5.751663703,-12.08404307,17.1007438,5.460527973,-6.501953513,-8.390910939,1.186431897
9.7143,1,-8.622324497,3.108987863,11.05576269,-15.15560564,-7.323156514,-17.49973137,8.564076018,-1.61438632,10.54588777,4.594348947,-10.32564594,2.590060159,-7.124108271,5.267530946
14.5925,1,-5.829568699,18.09048947,-0.645457058,-1.560879313,-15.54534134,10.22036753,-11.84076135,-3.942843541,1.925461641,-9.239364556,-15.51146999,9.251678853,-5.340699964,0.229564723
10.7477,1,-12.65282992,7.961141214,-8.141845982,18.30513361,0.838858587,-3.14674495,6.491586417,-3.629699106,9.08412738,12.31077742,11.24598941,3.445920265,-7.30170941,-14.4740496
5.6111,1,11.50651028,5.434093006,1.239248878,-10.08867422,14.97492185,19.56017372,-4.464296482,-0.403378779,-7.764718719,-5.139134509,-18.84084824,-5.300808694,3.469825944,0.310275727
0.0001,0,7.187947947,-0.482750305,6.854736012,-19.77055974,-3.436420487,-7.281565043,18.96136142,-17.6821096,-6.798340122,18.56110157,14.57874429,-0.186511591,6.361604084,-12.79319335
0.0001,0,6.890908206,11.97347359,-12.03946351,11.69042391,6.593716529,1.4075896,13.19822409,-2.558110013,-7.481257478,-13.27272192,18.0380409,-7.088808007,8.413564469,-14.7993658
10.1641,1,-18.97579248,6.909419328,-18.40486553,12.39612036,-12.04544326,11.69127264,3.524477064,-17.45287869,-11.45680284,6.404263371,-12.58384532,-4.752481018,-1.834216589,5.411635396
0.0001,0,-4.922072108,-17.54684686,-7.915933991,17.94976665,13.41193578,18.22034458,-12.30883739,15.80615692,-13.01849712,4.116394156,2.925450472,-6.577298774,6.011391116,-12.44635195
12.0594,1,-19.2616361,15.89899592,12.37969522,-10.27776369,-18.46423591,16.86028018,17.00817837,12.80853811,8.219797785,4.222935239,-12.80345966,4.404084837,4.230004522,16.46346846
9.1349,1,14.62036413,0.028268471,-7.624258,-7.717319592,17.24245066,-6.094351942,-1.916560095,-8.062901085,-2.875224116,-9.985805659,19.39589759,4.928602799,-4.206218693,-2.749488492
10.6543,1,19.84349851,-14.64883292,-3.312403881,4.749560249,14.9794741,-0.681950562,17.00483397,0.148015508,-8.990640032,-13.43579432,-8.910835652,7.915155233,-2.73901272,-1.662383507
12.2935,1,-6.943798493,-3.286354965,15.26543773,19.16836168,14.94848834,-19.23599259,14.72938613,9.362156045,9.674561573,18.67178293,6.704378098,2.994508026,-9.298900234,-6.605222501
12.8972,1,14.71991611,-3.686848087,-19.40719621,5.211305566,-9.653032218,-0.983943897,-1.626984159,-14.01972035,1.208813256,3.351014495,-5.111800352,-1.551919456,3.839061743,11.3452904
4.4935,1,-18.56445798,6.604564598,15.04627621,-16.71912339,-0.864961742,-8.058191703,16.88084452,3.512115168,18.24834564,-17.37206279,-14.85010049,6.669867004,2.176426369,8.120657127
-0.5479,0,15.91437769,0.54826441,-14.37943504,-1.534315751,-10.75803437,4.777301487,-16.83510378,11.62267771,-10.80153614,-9.656133267,7.145302271,0.548024082,1.969408375,-9.788953978
0.0001,0,-6.471578462,-6.922611064,-6.26870911,-8.954610066,-13.67108469,3.876182172,16.80856613,16.54504753,-4.337275342,-11.72053729,15.05248067,-8.150618188,1.122420917,-13.54893669
13.4324,1,-13.45910561,-8.503475708,2.643109121,19.96794307,-17.99923401,-9.164180505,4.251957998,7.828810664,1.94951909,-14.17418272,-1.899121898,5.403466913,-8.028861775,-10.22231528
