Fitness,Label,Xin1,Xin2,Xin3,Xin4,Xin5,Xin6,Xin7,Xin8,Xin9,Xin10,Xin11,TL,BL,IC
2.7686,1,-2.864219813,-15.91005943,-19.54279906,0.240339523,-4.286805822,11.98075911,0.379383817,-2.122245639,-2.849862729,11.70876454,1.85296232,7.214699569,9.98326208,14.71560657
-0.024,0,18.55449747,12.1680557,-1.201160545,-16.33727595,-5.044591742,2.760468802,-10.75447541,5.045823231,7.832618222,10.27024387,-2.275823211,4.825749891,4.801723889,3.98335363
-0.3741,0,-13.07489697,-5.9639294,1.546149485,-17.97024187,7.852864321,11.21040717,-4.831053254,-4.927906466,-16.39520528,18.59768533,3.173247792,-3.023849611,-3.39797376,15.31415705
6.3704,1,3.206951002,-0.396532485,1.004341186,-4.792512247,5.488052923,5.887989692,9.647271451,11.98672341,-1.417765195,19.61963203,15.74717628,-2.95647187,3.413959028,-12.809087
7.5812,1,-13.0591662,15.80986287,-4.380758802,17.52843521,-6.907222888,-5.55391051,-15.65419304,17.19198363,7.048915353,-15.04669687,9.545774765,-9.493370798,-1.912154689,-7.449199278
15.7371,1,2.559383057,0.210451387,-14.10232266,7.370899806,0.882693701,3.176899476,-7.453460099,14.62962127,0.864301015,-10.23221207,9.402345371,-6.140559438,9.596526648,0.065962179
19.4166,1,18.48537592,-14.13824124,2.660307263,0.295682633,-16.74341294,-19.49152385,-4.236653422,4.201687584,-14.96370347,-17.88556579,13.97532218,-9.759080245,9.657517228,-19.59062767
-2.2232,0,14.89645626,-10.41420455,-5.209663595,4.199112351,3.191363307,-5.421446589,17.13125013,-13.22846105,17.20693278,13.86322267,-6.570371803,-5.160626145,-7.383787229,14.29440804
6.9211,1,0.532723269,-5.560155754,3.343760797,-1.440109676,1.091792855,-14.41600444,4.414067516,1.847880694,12.03270125,0.534165746,-5.455700078,-4.468963806,2.452099789,2.499608044
4.7663,1,11.74689649,17.80519922,-7.025185653,-11.81713855,16.28416102,6.42469268,12.38961265,16.55105445,16.02113653,-11.42198413,-13.38301564,-1.139856254,3.626437385,17.83202159
1.9149,1,9.140746673,-1.396239492,3.403046857,-9.698917335,17.40733915,-2.910763716,19.93503377,-12.57148064,1.12138278,2.359238506,-12.63420855,1.914815494,-4.22956275,-12.04278499
0.245,0,15.00458691,12.29458801,-9.052931943,-14.60801443,-16.21642968,-15.36995064,-13.46668177,-11.05848637,-11.42912306,17.91292441,11.12427977,0.244907805,-8.448897949,-0.327995935
6.6293,1,1.649895621,14.92224433,-8.799206321,-14.05981605,16.090906,-0.946072226,15.15988986,-13.56408023,-19.0426992,3.730984842,-2.875480164,9.002749059,-6.629173579,-6.337625377
5.2738,1,-6.964577434,5.301613133,17.73857971,-12.81618172,-7.708083693,-0.943512155,-4.250741177,8.234567231,-4.590123933,5.859294625,7.858177964,6.13565735,-5.273748889,-10.511845
-1.5163,0,-18.65832777,-14.21550325,-1.96403517,19.91578076,16.76904905,12.90665712,-14.55933773,2.420675764,-12.64618544,-16.25679787,-19.08720704,-1.516375141,-3.972889255,14.72623818
1.3669,0,0.923722357,-1.055842447,7.421913497,14.94731034,-18.23056306,-0.73886784,13.42638878,6.575295331,17.8060554,7.105206839,9.920766227,3.139823427,4.506745958,-5.804295901
0.0001,0,-6.354523883,-7.275247949,-2.576352168,18.88184533,7.263165691,8.891811607,-8.270434138,7.697429671,7.006188708,-14.38329177,-6.824649193,2.727447439,2.363218635,14.20419736
11.5437,1,5.803899791,-12.24000506,8.548516694,-15.30307135,-12.78384332,-7.865874082,-11.61862323,8.516072837,-10.45278505,-12.02588877,-10.61079796,-7.075880849,4.467809143,-10.75427309
1.0517,0,9.254711302,-7.576060925,-16.08506386,-1.073479649,-14.61889577,-0.57521354,10.0750873,-11.04572796,-15.17740438,-0.946450293,12.85023391,3.411695264,4.463398861,-8.362116992
3.2072,1,3.112729442,-3.217118674,-19.98903489,9.570137615,-9.322051447,-0.402321303,11.30766064,-8.541673506,-13.97397719,-10.72640483,-1.955355836,3.207066506,-9.032660699,-5.249113016
1.2786,0,19.65523632,1.462852031,16.03081172,-8.105287247,-16.97683979,9.247267748,2.981664332,3.666287367,2.738275163,-5.104955163,8.152383444,7.258337486,-1.278512156,-9.363709556
0.1803,0,-6.073023667,-7.657303099,-13.39109368,6.299224245,16.20129928,9.104745086,6.214021241,11.09685014,-9.639482419,16.63683935,12.94464903,3.751203183,3.931462379,11.77584743
-3.4546,0,-7.802607434,-4.669976485,9.51544004,-12.28103015,-13.92358741,-2.981959456,3.439298405,1.410176973,18.2410153,-2.86049448,-12.23172963,7.836376393,4.381746063,-9.429847145
0.0001,0,13.46786658,-11.17148033,11.01529128,-7.996014231,-18.64941037,1.757432588,1.531013369,-9.342213723,7.44929742,-3.524389454,-10.53878007,1.748719721,-4.820163521,3.232855391
0.0001,0,-4.557181382,-13.42858891,-19.63956776,5.399103206,0.901880734,9.244260777,5.240824222,-1.271484519,7.876893981,12.69047518,7.338566856,9.630297844,-0.820629133,15.49714066
0.7044,0,-9.352770618,-2.376747667,9.719028416,0.50622145,16.75870904,-12.90660535,14.60553808,-5.472647926,-15.86524274,-17.07400235,-16.02537089,4.423614269,5.128028365,-13.31768131
5.6751,1,-3.052612237,13.98741018,-4.882991715,19.19863,19.00723716,-16.33865712,1.409769609,12.4421484,17.18813042,-9.818227552,-4.088435184,-0.97463681,4.700435471,-10.86729111
1.6612,0,12.13734224,7.52823524,11.12252274,5.166613491,-12.91528953,3.81238556,-17.44804782,-5.897231612,19.74852994,11.40028724,-7.236016023,5.069033182,6.730199623,-17.79022328
-2.3955,0,6.173580007,-16.22832695,-9.978698562,12.62136721,-4.029283946,10.69603402,14.25321281,-18.33516349,19.7453956,10.09020507,0.589191514,-5.663895865,-8.059414683,11.78175606
6.712,1,8.74802091,3.781788811,0.856919054,8.932144983,-5.045532704,17.22529611,-7.824790481,3.55659947,4.504838776,-3.971968926,-3.420313962,-2.385080212,4.326926201,15.09103147
5.1887,1,-18.88735868,-8.26887469,-16.63977489,-15.08129667,10.14959725,-0.901701264,18.31834593,-17.86171751,5.119531751,14.69601729,17.274798,5.188576765,-6.047250368,-18.1980704
3.6669,1,-17.50588243,-19.74199438,-15.45648754,-11.81258302,13.87059633,16.95059547,6.151848835,-1.230587309,1.893323948,-12.72122237,13.54693735,1.349724416,5.016574518,12.28408969
15.5594,1,3.619795745,-12.81821507,-15.62260268,-5.407158309,-11.66237692,-1.511813008,10.52719122,-17.32060787,5.511104873,-10.22324731,17.23894261,-7.54765465,8.011703879,1.968874937
5.7648,1,7.178856523,11.31378213,9.956583333,16.97602191,-13.22075114,-9.511212435,-11.01892858,-9.713513138,-13.97503688,4.019927782,-7.493853051,-0.723024668,5.041751413,-5.855399431
0.7925,0,5.176683652,-16.42998138,-5.709017423,-4.003896274,-13.21086713,-14.71412582,17.94599357,16.59825089,-3.848254794,-0.200617962,19.0181384,5.906831524,-0.792352037,-10.22215685
9.3993,1,-18.3079292,0.538908544,12.06157535,-14.58678505,4.829404312,-13.93130883,-18.58912299,-19.8540085,17.40952007,16.09850726,6.670527897,-5.029380654,4.369929996,-8.234624632
6.8566,1,-10.19881428,-8.585593764,15.92307558,0.386750683,6.891039686,13.36416262,-11.30666939,-8.646013937,-4.676103477,17.57496255,16.75922267,6.856528431,-9.825697853,-17.55317397
11.2344,1,12.10875619,-17.15374855,12.4515869,-10.00994986,-15.85488834,10.5875145,8.783101204,-8.131920635,9.205956523,-15.27149531,7.782930409,-3.32659774,7.907769303,-13.98291935
-2.3363,0,19.45601408,2.864208292,-18.92876165,-12.37480762,5.886739087,-9.526177318,6.915438436,-8.494836732,9.191968485,10.38172729,-10.58806164,6.11495934,3.77867416,-1.258307515
0.0001,0,-17.1304166,3.643086173,-0.612961227,5.103994182,-2.153254665,-19.46837615,-8.588038125,7.1706911,3.578244491,-6.700966957,-5.993347387,2.022202117,-4.533674891,9.499234316
13.2451,1,-7.904553092,-1.714019839,-7.694424837,1.012402581,16.16375374,10.4153533,-8.942949238,-13.98409207,-14.48155228,-0.097733102,0.149456281,-4.024222149,9.220837962,5.676710206
-1.4169,0,-2.924982091,-3.86252509,-0.591762539,-8.817275683,-17.15508744,-8.934929126,-1.433212645,-18.2578823,-1.374938288,6.755761634,-3.277943128,-7.28343734,-9.984010868,-5.866410454
1.7534,1,-14.53351144,14.71108634,18.53807457,-11.71872648,-4.546424028,17.88883723,8.937232112,14.90775545,-14.22818376,-14.56278902,1.219344791,0.778073793,2.5315191,-1.518929453
3.8558,1,16.17395295,-8.51780215,5.130938535,11.87259529,-19.33801652,18.09928207,-18.8806941,-0.198848939,4.323113032,-19.37832295,-18.39965076,0.760834778,4.616619372,19.95775751
1.2575,0,9.356034571,3.996577231,-4.233967783,-4.860421748,7.82294152,8.548048608,15.31039742,-13.02919976,-2.612178798,-8.479091831,-12.92233238,-3.681655148,-2.424114187,1.238633114
16.3225,1,9.553223429,3.49562823,5.271371916,-9.305050634,-18.80256083,2.658206086,10.21326663,11.07328017,-2.237358665,-8.365905802,-14.50829986,-9.733302636,6.589215205,-5.350164366
0.0001,0,-5.982627046,-14.61416194,17.14955472,-9.912735737,13.54705431,-1.186984515,7.355796896,-11.13831704,17.35681872,-16.67988217,-6.723822532,5.949199377,-7.200895139,16.59738145
11.6622,1,-6.75840211,-3.040417281,-4.057099166,5.101569792,13.24223722,-12.970029,-14.72778614,-1.855989356,-1.355145346,11.99497139,-12.04000602,-5.006092426,6.65613779,-2.029603529
-1.811,0,-4.192833696,-19.47190238,-18.94968689,11.07369833,12.79791383,-4.511202508,10.41881675,9.160031312,-15.08057099,2.641270025,-2.423642967,9.073171099,5.571174199,3.760097323
0.0001,0,-2.665842767,4.693250092,10.50802016,-10.07200856,16.60497169,-6.862190604,18.86871551,-2.172524249,5.704398117,18.63192563,-4.580599482,5.818300337,3.078527569,8.556012812
0.0001,0,5.330177265,19.3143316,-15.32033108,-0.2116679,6.499544371,-19.05173516,5.996991682,11.7073876,-9.915152384,-10.26825686,8.069026574,7.935032829,-2.911116167,17.34555895
0.0001,0,9.274602811,-18.78243082,-14.08000739,0.067274634,-18.62728407,-2.247833961,-13.95753039,17.97866552,-18.73323185,-10.03539578,-17.43632836,3.283528681,-8.110264869,16.7083818
0.0001,0,3.887545496,-17.37000279,-3.30001205,15.00180317,-13.56325495,7.906118072,-1.935001225,-4.679342527,-19.60760275,-14.64343884,-9.882428761,-7.377129031,-7.767237004,-8.213671894
0.0001,0,-14.4099766,-1.271372419,-4.716516995,-13.24380895,-6.524644769,-9.582168234,5.345182017,8.183060453,5.382573603,11.35977141,5.734546578,-1.866651217,-3.108010061,-3.028463418
2.1707,1,-11.22760253,11.26736058,9.376142173,-12.25661797,-5.508339181,-5.549856592,16.78100947,19.55997535,8.079364798,-10.89578438,-17.48181199,-0.33165079,1.839064243,-11.49033345
0.0001,0,12.23942424,13.65104906,-2.272709256,18.6939583,-6.092255532,-5.495718307,19.96713563,5.981964279,-0.236908891,-5.151978437,16.67916782,3.27799956,-6.792490667,8.009563753
-2.0291,0,-17.12019855,4.739532795,13.88412217,17.82353453,-3.30619979,-14.72884142,12.95691228,-13.79283603,4.841558751,17.39511794,-13.20102724,9.228914858,7.199785745,-10.10264039
4.217,1,-8.396443725,4.217709245,11.66935857,-9.936318421,-4.071423131,-3.356432185,-8.410132066,-18.13656461,7.663368601,11.36552557,4.001684567,4.759445132,-4.216890863,-17.12474936
4.5806,1,14.91056842,6.500029236,-9.475519197,16.28254652,-15.13229306,-5.739519523,-7.593317063,2.144841631,3.094857655,6.164725259,-7.303467267,1.141120881,5.721730499,1.054033465
0.0001,0,1.533221855,-19.709692,17.83385053,-13.46040916,-7.487241036,15.92878115,-4.745799497,14.47521632,-8.672089798,-9.243866996,17.62097089,7.002862134,-2.205323487,10.18438821
2.6228,1,-11.72805523,-2.790782811,18.64352018,12.50695123,7.867313347,-13.97140799,14.62528246,9.026763654,3.278822608,-15.0809734,8.159494721,4.773983839,-2.62265018,-1.468660301
2.0681,1,2.491320099,5.313647626,-8.814321593,-14.85080377,11.14163107,18.80869205,1.145588519,15.90948135,9.947719007,18.19143521,18.26073789,7.771863104,9.839971507,-8.218684896
11.157,1,-8.220966713,17.95325633,15.23885127,-8.449390658,-12.75710424,-0.606138844,6.820884811,7.030404054,5.167753255,-3.979150355,0.948714444,-3.135976086,8.021008599,-11.49130671
13.7153,1,-9.018945015,-17.901737,-6.432431544,3.005588277,-11.68960023,-4.612776941,19.6211245,0.802123179,-19.79448155,4.474625763,16.61739832,-5.762697814,7.952568769,11.07288645
0.0001,0,8.814826208,-13.78894213,1.524765726,-9.687666161,-1.18846671,0.439804492,-3.392382763,0.193401534,-12.08532224,-0.48419224,-3.808290003,0.768139449,-0.970636685,11.47108447
11.2239,1,-7.897238545,6.772664614,-13.32598052,-8.064776693,-12.96856559,-4.964433937,-15.2488083,-5.488223309,15.13017393,3.066559588,3.976972284,-4.513573051,6.710314155,-9.98158611
