Fitness,Label,Xin1,Xin2,Xin3,Xin4,Xin5,Xin6,Xin7,Xin8,Xin9,Xin10,Xin11,TL,BL,IC
-0.5375,0,7.841921772,-18.36321418,-2.780845825,18.52131207,16.45406149,-5.075547557,6.451385186,14.28763054,-10.09423187,-19.37812529,2.143070739,8.381089706,8.918680195,-0.252308526
10.387,1,6.05839859,3.351857185,-7.259059454,0.408028369,7.191806995,-9.668276881,-12.8815845,0.181533768,-16.11868083,15.41985216,-16.12714984,3.172701404,-7.21417945,-7.684328429
-1.0391,0,-8.679385275,-10.76093676,-1.476125939,18.22081167,10.86769142,12.68972817,16.05221718,9.908417434,-13.22899946,16.4998217,-12.62815231,1.039206952,9.012372345,-9.161861444
6.2501,1,-13.8252158,10.70585792,13.97508323,-16.37087352,-17.01497316,3.435485685,3.036906922,11.4857049,11.74935251,15.78975507,-3.910316241,4.825452352,-1.424505822,-13.36955426
8.3404,1,2.844526254,-18.26352868,-12.25025701,-17.93641308,3.858042588,3.902695377,11.53746787,-6.911871173,11.96379228,5.823790184,-2.6139513,-1.174419942,-9.514693376,-18.51087152
8.3879,1,-19.0078639,8.667749487,-2.938373147,14.57271617,-12.22827201,-4.728092941,-9.217063622,8.204715391,6.481695088,16.1362743,-19.7960782,-8.387765169,8.942927542,18.2875131
2.2163,1,-4.297188862,-19.43921393,-5.955845226,-3.797984273,2.201342503,-18.27046259,7.220383495,-8.293542415,0.396669261,5.443290458,-19.42478484,1.511549199,-0.704699654,-16.47921918
-0.041,0,16.56415274,4.569348164,18.93905672,-1.94597288,-16.08094538,-11.51228325,-18.8336417,-11.98105277,-7.128395849,-11.26804486,-3.989796965,0.041131953,3.415393782,-3.303983793
0.0001,0,13.23218625,-7.654009217,14.24975938,0.803478312,15.27114803,-17.84824882,-8.802042502,8.388052688,5.836511792,7.121384985,18.45374095,-5.113990111,9.432661009,-14.65202957
14.3879,1,-13.99079521,16.07962111,10.04459141,-14.66140565,8.813616568,16.69930356,1.345477204,6.107145166,9.714033402,-5.388725202,-2.887156945,8.753017008,-5.634761127,6.711214033
0.0001,0,5.697352383,-12.21799702,-1.151931509,16.59438022,5.790857951,8.22462506,-7.274336854,-12.39685526,0.516551197,6.223106992,12.40849731,1.426302028,5.33968747,2.922979263
0.0001,0,13.88774651,19.11297414,5.262181344,-9.631377991,4.724513504,17.00588137,-19.50683771,-2.753456987,-17.50326919,13.31580702,-19.21660845,-1.867322249,6.528551614,-18.51899772
-0.822,0,-5.443091675,15.95899782,-17.58850095,-17.34570635,8.705301634,-11.66781612,7.495226771,7.448075759,-0.495409414,-16.11869159,-17.47496306,-2.657543092,-0.822066801,11.4438586
0.9308,0,-1.720064575,-9.861226254,-8.42758044,18.4247014,-12.55115155,19.50152883,-3.956498865,5.662248915,-17.17933908,15.32747373,-0.068318801,-0.930748673,6.139562832,9.246164667
16.3242,1,7.462158208,-12.23472495,5.535521169,9.593164205,10.19305508,-0.602795261,-19.74027441,2.570133878,-17.551276,14.63857673,-14.15542965,8.604377862,-7.719730878,-4.1797505
2.4203,1,13.64064792,5.670418956,-19.66400267,11.3013243,18.2911149,-15.20352675,-17.92669497,-1.443453178,-2.26111518,-10.44815015,18.18712999,9.656520095,7.23632084,11.28226698
