Fitness,Label,TL,BL,IC
-2.6751,0,-4.430035623,0.937630384,18.30027342
-7.978106009,0,9.297770704,-6.847738366,18.82371127
-2.2897,0,9.143338965,-0.292487026,12.01121876
-0.4331,0,-7.162273227,-1.564774347,16.62942101
3.8469,1,5.844146591,9.189848528,6.229627966
-8.1128,0,-9.285766429,6.982586117,17.35972991
1.5775,1,3.574703097,5.154802612,9.725298725
-2.1548,0,-2.155459609,3.109557804,-13.15253249
-4.1209,0,4.12092176,-9.363343072,-8.923080602
6.0595,1,-9.076572187,-8.057364375,12.93831313
-3.7744,0,3.89657246,-3.658010399,18.00888195
-0.7727,0,-9.31107839,-1.225112807,-4.737661716
3.3131,1,5.310335763,5.903998023,-12.52509582
0,1,-0.204712084,-1.088275986,5.852520404
2.1901,1,4.187296617,5.09373364,-8.95899692
1.1048,1,3.594053537,3.101960079,-13.49553059
-1.9651,0,-7.620046369,-0.03271896,18.38975834
-2.4326,0,-3.192285467,1.70535502,-11.04752242
-4.9513,0,5.025341186,-4.898097691,0.238282067
1.9843,1,3.981534453,7.818065051,18.37165701
-0.9443,0,0.944310599,-7.227511143,-14.02823978
-4.8492,0,-4.849834918,6.81434512,-9.828712841
-5.6714,0,6.285696521,-5.129500626,17.17054493
1.0025,1,-3.00032468,-6.068094991,-9.956645681
-1.4048,0,2.320893523,-0.534223022,-5.933619717
-0.2919,0,6.616572558,1.705281823,1.988944332
-6.2223,0,8.343873277,-4.283219624,10.28800916
-3.709,0,5.074581886,-2.39108306,2.712865629
6.4851,1,-8.482914209,-8.920997627,1.23190212
3.5861,1,5.583344602,8.680213685,-14.80375166
-0.9918,0,1.376473217,-0.612187179,-19.52391722
1.2597,1,-3.257547112,-6.756353836,11.77138163
-2.1656,0,-3.775699159,0.57066271,-13.37405082
-2.0396,0,2.039638828,-4.740574309,6.163163939
1.7871,1,3.784290063,4.963031856,-1.97833606
3.4226,1,-8.32357244,-5.420460626,16.53349446
-6.7221,0,-6.952439621,6.51633955,1.53369741
-9.0694,0,9.922694333,-8.436489425,-2.292869209
-7.8663,0,-7.866944596,9.237961617,-19.81463103
3.501,1,5.498209294,6.346064413,14.74778821
0.0065,1,-8.31128309,-2.004347018,-9.605183886
-3.3689,0,6.001369604,-1.371723451,16.42590378
2.7261,1,-6.363059434,-4.72394167,-14.17844078
-7.278,0,-7.278628826,7.385844153,3.188183495
-0.9972,0,0.997204037,-7.100904036,14.12124471
-2.4411,0,2.44110263,-2.980952382,0.529981595
0,1,-1.963839325,-8.480666166,-10.40335386
4.324,1,-7.533621303,-6.321844234,-10.40189897
0,1,-1.654658618,-9.006911393,16.1086444
-2.1799,0,8.895743794,-0.182718151,-0.429894464
-3.245,0,-3.245611804,8.001076928,-5.230128755
-6.6868,0,-7.775944894,5.605041366,-4.410446522
-0.0761,0,-5.166174282,-1.921757088,-16.14181899
-7.3599,0,-7.360534148,8.841011816,18.24538161
-1.5042,0,1.504171902,-8.804409141,-10.60880347
-2.9362,0,-2.936828576,6.423880804,-19.38386249
4.6224,1,-9.139523967,-6.620199411,5.964618998
0.9577,1,4.634447713,2.954919263,-1.963051743
-0.9402,0,0.940177846,-4.073583888,9.787712283
-4.9506,0,-6.220899699,3.735508667,-12.65955377
-2.5712,0,-2.63030807,2.512371215,11.20909741
-8.2802,0,-8.377484623,8.587719419,11.02850714
0,1,-0.264167352,-1.282828228,-2.128650023
-2.0034,0,-3.87301056,0.170173108,0.430862567
3.8994,1,6.352554166,5.896628338,5.772725208
-2.4272,0,-2.427812347,6.231609166,1.313023552
-2.9848,0,-2.985457928,8.78003124,15.03771246
0,1,1.003126858,2.44950172,3.481788181
1.9772,1,-5.845154145,-3.975073394,-1.163066059
-5.3896,0,-5.390236796,6.886175854,-12.20942842
3.4837,1,-5.481564381,-6.585839057,-10.89342809
0,1,-1.286026318,-3.777954267,16.93518568
0,1,-1.395852173,-6.303673598,16.19523875
-3.2198,0,9.594967567,-1.222600537,-15.55523106
-0.1722,0,-4.838706082,-1.825603078,3.79584296
-3.4061,0,-4.755765044,2.056861788,8.448631217
3.5672,1,-5.56506532,-7.651646983,-8.132965071
-0.4812,0,-3.624433961,-1.516664806,0.314331386
2.7525,1,-8.289684058,-4.750355306,12.04058491
-8.9914,0,-9.415594449,8.57708279,9.213234514
-0.2278,0,-0.227820524,1.57050122,-10.50865681
-0.823,0,-0.823023436,9.261770786,1.87222875
-0.4227,0,0.422716616,-5.368112266,-0.444090243
0.484,1,2.481201763,3.582710817,-4.179391373
-2.6506,0,-2.651267029,9.759640063,-18.49044535
5.7062,1,7.703360164,8.265736553,11.84735494
2.7647,1,-8.025754427,-4.762576323,-6.585726401
-3.5946,0,3.594559028,-7.268937253,8.849099943
-5.073,0,-7.864762768,3.075146973,-0.233042534
2.3035,1,5.581034465,4.300741568,16.14882242
-5.3139,0,7.818450087,-3.316738945,7.949833293
4.046,1,-6.043803466,-9.389181074,9.762970415
-0.0004,0,0.000448712,-0.401557177,16.18888952
0.2001,1,2.197332968,2.353327792,14.37769223
-0.4628,0,6.109788491,1.534430312,-12.68310122
-5.2007,0,-5.201359789,7.730238662,-18.8530339
0,1,-0.20197223,-6.641457086,19.14722599
-1.9878,0,4.253889434,0.009432483,-1.156465018
-5.6373,0,-8.807622648,3.639438083,-18.3027545
-2.4308,0,-8.571090708,0.432996849,-16.13079897
4.3537,1,6.362971077,6.350941842,8.897583695
-5.0885,0,-7.00269115,3.192105058,0.7437977
0.9826,1,9.459491095,2.979829854,12.01322301
0,1,-0.924045825,-1.352169924,13.01255182
5.3387,1,-8.330603703,-7.336579848,-13.06445548
-2.1806,0,-2.181243954,6.627594857,12.13457566
0.017,1,-8.790576417,-2.014844588,1.07503322
-1.664,0,-1.664010641,3.137197819,5.118934368
-0.6309,0,-4.160318401,-1.366976595,-19.38051497
-7.8784,0,9.681274488,-6.656631802,-15.7513462
0.554,1,-2.551805199,-6.037631949,-0.412494479
-3.2095,0,-3.210131732,9.032609296,16.81328159
-6.7512,0,-8.946460046,4.75716191,-9.235222944
-1.2217,0,-1.5432877,0.957418024,17.70947937
-1.6451,0,-1.645117914,9.661049329,-7.941802052
1.3296,1,4.021975118,3.326777032,1.565058602
1.3334,1,3.962110404,3.330558268,-12.87470182
