Fitness,Label,TL,BL,IC
5.3548,1,-7.740248812,-7.352607199,-17.43990971
-0.899473603,0,-8.414052091,2.539083279,-3.546641352
0.7746,1,2.77179372,7.131139255,10.54300132
3.6335,1,9.523205924,5.630744902,17.42332814
-0.899823258,0,4.783043344,-4.92760465,8.770011386
1.8731,1,3.870252312,5.466379017,9.888683427
-0.898839894,0,-3.632326663,0.208619144,10.92265906
0,1,1.456310521,9.077006702,-13.13710782
3.0472,1,8.144701902,5.044388452,-8.552990733
-0.899683521,0,2.548206853,-0.743441537,-14.82243019
0,1,0.987693252,9.390186464,-2.31438041
-0.899823258,0,1.819278597,-7.780595058,-12.00590834
4.7429,1,-6.740717938,-9.262451454,-9.091013441
0.8313,1,-5.397328202,-2.829106225,-14.62629204
-0.898810553,0,9.971891946,0.270417095,-4.486147811
0.7071,1,-5.002944841,-2.704951471,-4.037698353
-0.899141677,0,8.526015193,-0.090541387,4.36748019
-0.899473603,0,-9.903830729,1.754575287,11.0984969
-0.89857802,0,3.143663676,0.566293871,13.03092646
-0.899823258,0,9.248675388,-3.725270866,11.8834023
2.2987,1,-4.29648404,-9.702102489,-16.23400982
1.4277,1,-3.425539582,-3.888673558,-19.27911468
-0.8776,0,-6.755851825,-1.120210732,10.67080118
1.6279,1,3.625118703,4.29073456,-1.60876488
6.3882,1,8.385368148,9.778868393,17.30404462
-0.7695,0,-0.769533052,8.098443391,-4.541933853
-0.4048,0,2.060331046,1.206380174,13.83359022
-0.899473603,0,-4.303900905,3.266369954,4.090327061
-0.899823258,0,3.129258934,-3.801318268,-6.734247718
4.2382,1,-6.236053423,-7.986331856,-8.537441838
-0.899314345,0,-2.903475567,0.715233962,19.63331912
-0.899473603,0,-9.436438342,4.190640312,16.2062807
-0.899823258,0,7.316587622,-7.61661354,18.21100805
-0.899473603,0,-1.181984181,7.51520435,14.59806572
-0.899473603,0,-2.896988495,2.622928949,14.58197
6.4658,1,-9.58016531,-8.4635949,-4.931422908
5.0183,1,-7.016126729,-9.318062086,11.2899883
-0.899473603,0,-3.455098475,6.349526594,-13.05523799
1.5252,1,3.522354653,7.512009616,10.28621889
0.8233,1,-5.407485708,-2.821127614,-5.473436237
1.2561,1,-4.651137774,-3.253944754,-16.52157404
-0.0116,0,-0.96880696,-0.906719445,-18.83857961
-0.899823258,0,2.742037453,-8.810824261,-13.23215544
-0.898157591,0,3.693594848,1.091346251,-19.75856665
0.4699,1,-4.238296947,-2.467768705,-14.14027867
-0.898067252,0,-8.509327691,-0.785142475,-5.184224824
-0.898442269,0,6.491150368,0.750713121,12.70064332
0,1,-0.792383468,-9.719323712,-19.80067179
0.6834,1,-6.675464322,-2.681223222,8.728419058
2.4267,1,-6.811527264,-4.424570586,5.797537907
1.5636,1,-4.255917017,-3.561382146,-13.7833282
-0.899473603,0,-2.246737186,7.91466268,15.51067472
-0.899473603,0,-2.127733445,3.509154843,-9.911432216
0.4964,1,8.99975417,2.493643466,-11.72208234
-0.899473603,0,-7.806896778,1.316992208,-9.026664152
4.8332,1,-8.576694798,-6.831013996,-18.01918815
1.6205,1,3.61767496,5.635116248,12.29460785
-0.899473603,0,-4.698928136,7.917987943,4.319443521
1.1216,1,-9.711983227,-3.119425025,1.346589413
-0.899823258,0,2.555251541,-1.065253988,12.44422575
-0.899473603,0,-7.103440213,9.496587502,13.35040264
-0.899473603,0,-3.197976782,2.324781317,-7.849753254
-0.899070142,0,-8.21562465,0.430516098,13.01166132
3.2813,1,5.278532448,8.952786158,-6.658109072
0.2074,1,-2.205232351,-6.991742402,-6.651823174
-0.01,0,1.073576569,1.005878898,-13.5831582
0.0312,1,-7.658210609,-2.02899132,13.25532019
-0.898675143,0,-6.299975893,0.01571515,-14.9474208
3.3357,1,7.292569061,5.332913766,2.574141422
-0.89850901,0,-2.208612561,-0.197246734,15.47616383
-0.899059102,0,8.100965632,-0.032220893,1.16907801
-0.4252,0,8.194014382,1.57196894,11.03140415
-0.899577898,0,3.227892611,-0.606855221,-11.20929521
-0.899823258,0,2.051794773,-6.314820064,-12.09961138
-0.899823258,0,7.23984293,-7.487014954,5.823210229
-0.899473603,0,-1.253635794,2.25210135,9.49929659
1.9366,1,-3.934411057,-9.140645734,13.42030123
-0.899473603,0,-2.613836409,3.226786129,15.82879672
-0.899473603,0,-4.518018682,9.957969541,13.37413526
1.1351,1,5.826873749,3.132254163,1.746920771
-0.899473603,0,-2.266373407,6.444641751,3.813380557
3.6356,1,5.632826414,9.753491125,11.53015202
-0.899301465,0,7.058417733,-0.287743416,14.9502429
1.3252,1,-3.323058336,-5.893664422,-0.225717287
-0.899473603,0,-9.375820807,6.551488295,-9.42970249
1.5528,1,3.549986647,5.877286719,7.273754589
-0.899823258,0,3.015184749,-5.25316543,-0.903860833
-0.899823258,0,8.728385304,-5.17792978,-11.63544482
-0.899473603,0,-4.550559447,5.516348408,-6.74354341
-0.899823258,0,2.061494029,-6.319702723,-16.50164599
1.8239,1,-3.821692369,-5.382431915,16.36748208
-0.899823258,0,8.737686917,-9.362423185,3.74588173
-0.4959,0,-9.123649563,-1.501943133,0.863251158
0.5034,1,6.80678843,2.500593583,-9.791812782
3.3488,1,8.093824716,5.34601205,2.506620065
-0.899823258,0,7.943070673,-2.638411811,-6.490759722
-0.899823258,0,2.37710712,-8.262091201,-4.980098735
-0.899473603,0,-6.252378652,6.2105338,8.929927804
1.4963,1,3.493480922,8.279628345,12.83843589
-0.899823258,0,0.97449273,-9.689168117,-16.2125457
0,1,0.295165829,9.049652765,13.72244785
6.703,1,8.700244919,9.468261702,-5.098944397
-0.899473603,0,-3.581986185,5.664958017,-11.51113143
6.6075,1,9.183044117,8.604657384,-5.370820503
-0.899473603,0,-3.101752205,3.853632568,8.664154578
-0.1238,0,6.006869929,1.873409547,-16.11299952
-0.899823258,0,1.190183327,-9.138200792,10.30526884
-0.008,0,3.192950582,1.98918642,-10.92021001
2.2771,1,4.274287219,4.490048262,-6.231281209
-0.899473603,0,-9.344983483,6.872316965,10.81200458
0,1,0.192932736,4.139265575,11.6469563
-0.899473603,0,-3.386619636,8.273502839,3.068198513
2.244,1,-4.241814517,-4.662702795,15.60712716
0.6801,1,-2.677976209,-6.999692248,17.85310279
1.0195,1,3.016706292,9.644291377,-12.24665224
-0.899141677,0,6.574851898,-0.123958213,3.631141444
-0.899473603,0,-9.102188555,1.28916304,5.341772126
0,1,-0.038004744,-8.80752742,0.606527369
-0.899473603,0,-8.93610122,6.872638411,3.786911263
0.9473,1,3.820376611,2.944535438,4.937593426
-0.899823258,0,9.077166395,-6.461120157,-1.003792146
-0.899059102,0,6.84807219,-0.060730893,10.49618909
-0.899473603,0,-6.402454838,3.832441145,16.57699417
-0.5598,0,-6.746851506,-1.438077605,-18.32592535
-0.899473603,0,-5.485074866,3.323007321,14.85379531
1.1076,1,-3.105433125,-9.454968715,16.2113067
-0.5788,0,-0.57875507,8.209280375,-6.880809008
-0.899823258,0,3.822070864,-9.651040384,0.493873997
1.2799,1,-3.363726448,-3.277751051,18.1338242
-0.899823258,0,5.010108202,-3.321515412,5.313309949
-0.899473603,0,-1.689085821,1.529995955,18.38002115
-0.899823258,0,2.316964583,-6.988442073,13.5308279
-0.899823258,0,4.52330839,-7.823075993,-13.54593838
-0.4695,0,-4.05979421,-1.528351222,1.136576732
