Fitness,Label,TL,BL,IC
-0.2561,0,6.463308216,1.741145444,18.46446515
0,1,-0.217413596,-4.92954439,7.128965078
0.3443,1,8.289835641,2.341495801,-7.100050433
0,1,-0.189761401,-1.850893151,-16.64241506
0,1,1.839190489,7.580309573,2.132314456
-0.899473603,0,-4.010578629,7.940166314,11.77225225
-0.0178,0,5.516249109,1.979365929,2.288840922
-0.899473603,0,-4.005847359,0.953145089,19.67319318
-0.3317,0,-0.331740591,3.695473924,-0.799326752
-0.899823258,0,4.930415497,-5.771551395,-10.06053094
-0.899473603,0,-8.043218409,4.17340869,14.22983677
2.8597,1,5.780684998,4.856850995,-15.81911539
0,1,0.417498185,6.932649306,13.74452603
0.4472,1,-2.445054046,-4.558092771,-14.98784303
-0.8946,0,3.827050786,1.102623281,-19.66103072
-0.227,0,-1.679363857,-1.217635892,11.3744258
-0.2051,0,6.599949822,1.792128769,-14.31703847
0,1,1.866267674,4.523855985,-2.864785675
2.6945,1,-5.78415888,-4.692314632,19.72735021
-0.3849,0,-0.38487261,6.555002637,4.129530633
4.3596,1,6.356833621,9.110943411,6.015127736
0.5557,1,2.552946925,2.931266626,-17.51467485
5.9771,1,8.763932918,7.974328752,7.794366517
1.1313,1,-3.791876575,-3.129087887,-16.95082227
0,1,0.396738812,2.175546429,9.086398417
4.6068,1,-9.998521328,-6.604674624,-1.468359055
-0.899473603,0,-2.762956975,9.041312291,17.28773437
-0.899823258,0,9.161373216,-5.869231592,-13.61197064
0,1,1.435211341,1.858383831,7.944429995
0.1251,1,-3.883730718,-2.122973178,-6.524566957
5.4223,1,-7.420139175,-8.261272878,1.957733952
-0.899473603,0,-3.645335097,9.854951521,8.942610138
0,1,1.442027802,4.344543433,19.06236911
-0.899473603,0,-1.460188835,8.260275421,15.89245017
-0.899823258,0,6.70457135,-9.040836572,-5.628777223
-0.899473603,0,-4.084922078,2.582512365,-14.55264793
-0.899473603,0,-2.519083974,7.295633964,-9.989056322
-0.899473603,0,-9.409888428,9.988979428,4.205707003
-0.7617,0,-5.116097561,-1.236094569,9.403742686
-0.899823258,0,1.159781845,-1.233212209,4.141670545
-0.899473603,0,-6.380023712,6.175722782,12.76233719
-0.2553,0,-0.255285634,5.101007947,-3.82509869
-0.899823258,0,4.513526087,-6.919828398,0.362931161
-0.899823258,0,3.360711871,-6.948486942,-17.49215943
-0.897821639,0,-3.257702343,-1.081120391,10.3059387
-0.899473603,0,-7.389328421,8.030236715,-11.18647038
-0.4374,0,-2.428985252,-1.544882233,18.907448
-0.899473603,0,-6.45967913,7.645530213,2.05029402
-0.899473603,0,-3.570161846,7.996912024,1.684468815
-0.7422,0,-0.742214876,6.159498558,-5.56727034
-0.8869,0,9.420059596,1.110346489,10.79278811
-0.899823258,0,3.602420383,-5.89600898,13.38491732
-0.899823258,0,7.309340595,-9.169584346,4.567721011
-0.899473603,0,-4.534395375,4.934138342,-0.48512213
-0.898652418,0,5.847509877,0.489257918,3.900461019
0.7218,1,-5.599396058,-2.719614866,-8.110318772
5.0351,1,7.032338379,9.473791892,4.944864165
5.8484,1,7.845583868,9.618054166,5.879164192
